Index,Original Category,keywords,Description,Assigned Category
455,Other,"['constant', 'detected', 'display', 'key', 'press', 'reads', 'service', 'support', 'warning']",Display reads: warning constant key press detected & call service support,Constant Key Press
468,Other,"['display', 'requested', 'screen', 'service', 'working']",Display not working screen requested service,Constant Key Press
492,Other,"['electrocuted', 'partner']",Electrocuted partner,Loose Door Handle
498,Other,"['burning', 'casing', 'damaged', 'fan', 'intake', 'left', 'oven', 'partners']",Damaged casing and intake fan. It is burning partners. Left oven.,Upper Impinger Plate
505,Other,"['burned', 'completely', 'damaged', 'didnt', 'door', 'edge', 'leg', 'little', 'look', 'opened', 'oven', 'papers', 'pretty', 'tray', 'warming']",One of the warming papers completely burned. I didnt see a fire when i opened the oven door. The edge of the tray and little leg look pretty damaged.,Tray/Peg Issue
525,Other,"['oven', 'serial', 'install', 'new', 'arrival', 'merrychef', 'numbers', 'remove', '700', '90', 'blower', 'comments', 'complete', 'completion', 'date', 'disposal', 'dispose', 'dual', 'good', 'guardian', 'installed', 'job', 'loaned', 'ngod13790', 'numb', 'number', 'offsite', 'old', 'ovens', 'photo', 'placement', 'po', 'removed', 'replacement', 'report', 'required', 'schedule', 'sn', 'store', 'tech', 'tested', 'total', '00', '10', '790']","***DUAL MERRYCHEF Oven Replacement*** Arrival date 3/10 $700 for install, $90 for disposal Total PO 790.00 Remove loaned bottom blower on SN: NGOD13790  Please schedule w/ store before tech arrival to complete install Job: remove then dispose offsite old oven Install two new MERRYCHEF ovens Report back all serial numbers removed and serial numbers installed PHOTO OF OVEN PLACEMENT NOW REQUIRED! Completion Comments New Oven 1 Serial Number: Guardian Serial: Tested: GOOD New Oven 2 Serial Numb",116 Heater OFF on Request
539,Other,"['26059485', 'billing', 'welbilt']",Welbilt billing 26059485,Overheating
543,Other,"['26513989', 'billing', 'welbilt']",Welbilt billing 26513989,Overheating
569,Other,"['constant', 'detected', 'key', 'press', 'service', 'support', 'warning']",Warning....constant key press detected. Call service support,Constant Key Press
574,Other,"['constant', 'detected', 'error', 'key', 'message', 'photo', 'press']",*constant key press detected See error message photo below.,Constant Key Press
575,Other,"['oven', 'partner', 'says', 'store', '10', '10374', 'accessible', 'ago', 'believes', 'called', 'caught', 'compartment', 'days', 'dept', 'extinguisher', 'food', 'goes', 'hours', 'kastor', 'partners', 'pm', 'right', 'safety', 'shift', 'shooting', 'trbl', 'turned', 'use']","Store# 10374, Kastor, shift, in a fire in the right oven, had to use the fire extinguisher. The partner says the fire was behind the compartment where food goes not accessible. The partners have turned the oven off for safety. Fire dept. was not called. Partner says she believes this oven caught on fire a few days ago as well. No trbl shooting. Store hours: 5 am - 10 pm.",Loose Door Handle
578,Other,"['error', 'reset', 'tried', 'appeared', 'merrychef', 'oven', '10pm', '1456', '5am', 'alex', 'came', 'constant', 'e2s', 'giving', 'hard', 'kba', 'key', 'ovens', 'press', 'sh', 'shift', 'soft']","Alex SHIFT, Merrychef oven is giving a constant key press error Tried a soft reset, error still appeared Tried a hard reset and the error still appeared KBA: Merrychef E2S Ovens - 1456 SH: 5AM - 10PM Tried to reset the oven but the error came back",Constant Key Press
593,Other,"['appears', 'coating', 'door', 'melting', 'oven']",Coating on oven door appears to be melting,Convection
600,Other,"['constant', 'detected', 'key', 'press', 'service', 'support']",CONSTANT KEY PRESS DETECTED CALL SERVICE SUPPORT,Constant Key Press
601,Other,"['message', '5am', '9932', 'constant', 'detected', 'hours', 'key', 'langrehr', 'oven', 'press', 'saying', 'shelby', 'shift', 'showing', 'shows', 'store', 'tried', 'turn', '10', '30pm', 've']","Store 9932 Shift: Shelby Langrehr Hours: 5am - 10:30pm Oven is showing a message saying ""constant key press detected"" we've tried to turn it on and off but it still shows the message.",Constant Key Press
605,Other,"['food', '2bk7lcy', '2fx202h21hwalevoqkpuskxvi9awywwf47kw2s', '3d', '5a', '9932', 'customers', 'heating', 'hours', 'https', 'inconsistent', 'langrehr', 'ovens', 'properly', 'said', 'shelby', 'shift', 'store', 'time', 'warm', 'warming', '05', '08', '09', '10', '12', '2019', '2022', '202205100419', '30p', '4868', '4b7be9822dda', '7531b4cf', '88aa', 'blob', 'core', 'd257', 'jpeg', 'net', 's00332safocwpr', 'se', 'sig', 'sp', 'spr', 'sr', 'st', 'stores', 'sv', 'wasn', 'windows']",Store #: 9932 Shift: Shelby Langrehr Hours: 5a - 10:30p Both the ovens have an inconsistent heating time. The food is not properly warming up and customers have said their food wasn't warm enough. https://s00332safocwpr.blob.core.windows.net/stores/9932/9932-202205100419-7531B4CF-D257-4868-88AA-4B7BE9822DDA.jpeg?sv=2019-12-12&sr=b&st=2022-05-09&se=2022-08-08&spr=https&sp=r&sig=%2FX202H21hwaleVoQkpusKxvI9AwYwwF47KW2S%2BK7LcY%3D,Loose Door Handle
621,Other,"['constant', 'key', 'oven', 'press', 'screen', 'touch', 'turn', 'working']",Touch screen is not working. Also can not turn off oven. constant key press,Constant Key Press
622,Other,"['displaying', 'error', 'message', 'photo', 'screen', 'touch']",Displaying error message on touch screen. See photo,102 Heater On Without Request
658,Other,"['anytime', 'cooking', 'current', 'electric', 'food', 'goes', 'kind', 'like', 'oven', 'sounds', 'spark', 'start']","In the back of the oven, there is a spark that sounds kind of like an electric current. It goes off anytime you put food in there and start cooking it.",Microwave
668,Other,"['oven', '5520', 'did', 'e2s', 'edgar', 'issues', 'kb0012272', 'merrychef', 'ovens', 'pressed', 'saying', 'serial', 'ss', 'tried', 'turning', 'work', '2201213091548', '4am', '7pm', 'number', 'partner', 'sh', 'times']","edgar SS, 5520 oven is saying it was pressed too many times.partner tried turning oven on and off but it did not work. serial number-2201213091548 Merrychef E2S Ovens - All Issues KB0012272 sh-4am-7pm",Loose Door Handle
701,Other,"['backwards', 'hard', 'pushing', 'screen', 'select', 'tap']","Screen pushing backwards, hard to tap/ select",Close Door Error
704,Other,"['press', 'button', 'calibrated', 'center', 'make', 'misalignment', 'needing', 'order', 'screen', 'selection', 'want', 'isn', 've']","Screen isn't calibrated, so we've been needing to press off center in order to make the selection that we want. We can't press the back button because of the misalignment.",Control
744,Other,"['oven', 'causing', 'issue', 'plate', 'burn', 'damaged', 'flattening', 'got', 'indents', 'inside', 'just', 'new', 'ovens', 'pegs', 'plates', 'submitted', 'tickets', 'wobble']","Some of the pegs inside the oven are flattening out on top, causing indents to burn into the bottom of the oven plate and causing the oven plate to wobble. Just got new plates and they are already becoming damaged due to this issue. Submitted two tickets because this is an issue with both ovens.",Tray/Peg Issue
