Index,Original Category,keywords,Description,Assigned Category
15,Other,"[('half', 12.5), ('screen', 12.5), ('time', 12.5), ('unresponsive', 12.5), ('touch', 0.0)]",Touch screen is unresponsive half of the time,Constant Key Press
17,Other,"[('detected', 25.0), ('key', 25.0), ('press', 25.0), ('constant', 0.0)]",Constant key press detected,Constant Key Press
18,Other,"[('oven', 6.25), ('away', 3.125), ('cleaned', 3.125), ('cleaner', 3.125), ('day', 3.125), ('filter', 3.125), ('goes', 3.125), ('helps', 3.125), ('inside', 3.125), ('minutes', 3.125), ('multiple', 3.125), ('sanitizer', 3.125), ('scrubbed', 3.125), ('smell', 3.125), ('terrible', 3.125), ('times', 3.125), ('left', 0.0)]",Left oven has terrible smell multiple times a day and goes away within ten minutes. We cleaned the filter and scrubbed all inside with sanitizer and oven cleaner but nothing helps,Air Filter Error
19,Other,"[('constant', 6.25), ('detected', 6.25), ('key', 6.25), ('press', 6.25), ('screen', 6.25), ('service', 6.25), ('support', 6.25), ('getting', 0.0), ('message', 0.0)]","Getting a ""constant key press detected. Call service support."" Message on screen",Constant Key Press
20,Other,"[('code', 8.333333333333332), ('constant', 8.333333333333332), ('detected', 8.333333333333332), ('key', 8.333333333333332), ('press', 8.333333333333332), ('service', 8.333333333333332), ('support', 8.333333333333332), ('233', 0.0), ('308', 0.0), ('warning', 0.0)]","Warning code constant key press detected call service support X:308, y:233",Constant Key Press
21,Other,"[('constant', 16.666666666666664), ('detected', 16.666666666666664), ('key', 16.666666666666664), ('press', 16.666666666666664), ('says', 16.666666666666664), ('screen', 0.0)]",Screen says constant key press detected,Constant Key Press
22,Other,"[('oven', 11.76470588235294), ('detected', 5.88235294117647), ('key', 5.88235294117647), ('message', 5.88235294117647), ('press', 5.88235294117647), ('times', 5.88235294117647), ('turned', 5.88235294117647), ('constant', 0.0), ('left', 0.0)]","Constant key press detected, turned off oven 3 times and message still there. Left oven",Constant Key Press
24,Other,"[('answer', 2.941176470588235), ('buttons', 2.941176470588235), ('key', 2.941176470588235), ('let', 2.941176470588235), ('phone', 2.941176470588235), ('press', 2.941176470588235), ('push', 2.941176470588235), ('resolve', 2.941176470588235), ('screen', 2.941176470588235), ('shut', 2.941176470588235), ('store', 2.941176470588235), ('tried', 2.941176470588235), ('constant', 0.0), ('wouldnt', 0.0)]",Constant key press - Wouldnt let us push any buttons and then shut down to this screen ***tried to call store to resolve on the phone but there was no answer,Constant Key Press
43,Other,"[('55', 3.8461538461538463), ('66', 3.8461538461538463), ('finished', 3.8461538461538463), ('heating', 3.8461538461538463), ('said', 3.8461538461538463), ('sh', 3.8461538461538463), ('5am', 0.0), ('9pm', 0.0), ('constant', 0.0), ('detected', 0.0), ('key', 0.0), ('press', 0.0), ('service', 0.0), ('support', 0.0), ('warning', 0.0)]","When it was finished heating up it said ""WARNING CONSTANT KEY PRESS DETECTED CALL SERVICE SUPPORT"" X: 55 Y: 66 sh 5am-9pm",Constant Key Press
45,Other,"[('saying', 10.526315789473683), ('constant', 5.263157894736842), ('detected', 5.263157894736842), ('error', 5.263157894736842), ('key', 5.263157894736842), ('press', 5.263157894736842), ('release', 5.263157894736842), ('screen', 5.263157894736842), ('service', 5.263157894736842), ('support', 5.263157894736842), ('touch', 5.263157894736842), ('warning', 5.263157894736842), ('display', 0.0)]","Display saying ""warning constant key press detected call service support"" and an error saying release touch screen",Constant Key Press
48,Other,"[('oven', 2.631578947368421), ('ovens', 2.631578947368421), ('2006213090071', 1.3157894736842104), ('actually', 1.3157894736842104), ('black', 1.3157894736842104), ('called', 1.3157894736842104), ('gives', 1.3157894736842104), ('installed', 1.3157894736842104), ('maintenance', 1.3157894736842104), ('message', 1.3157894736842104), ('morning', 1.3157894736842104), ('new', 1.3157894736842104), ('newer', 1.3157894736842104), ('night', 1.3157894736842104), ('note', 1.3157894736842104), ('overheating', 1.3157894736842104), ('overheats', 1.3157894736842104), ('pm', 1.3157894736842104), ('said', 1.3157894736842104), ('says', 1.3157894736842104), ('start', 1.3157894736842104), ('sticky', 1.3157894736842104), ('turned', 1.3157894736842104), ('30', 0.0), ('available', 0.0), ('chico', 0.0), ('code', 0.0), ('e104', 0.0), ('eicon', 0.0), ('error', 0.0), ('hours', 0.0), ('serial', 0.0), ('shift', 0.0), ('store', 0.0), ('trbl', 0.0), ('won', 0.0)]","Chico Shift called because they had two new ovens installed last night. This morning there was a sticky note on one that said this oven overheats, call in for maintenance. When the oven is turned on it gives a message that says its overheating and it won't actually start. Error Code E104 These Are the newer black EICON ovens No Trbl Available Serial #2006213090071 Store Hours 5 am- 7:30 pm",116 Heater OFF on Request
49,Other,"[('1456', 1.7857142857142856), ('430', 1.7857142857142856), ('730pm', 1.7857142857142856), ('called', 1.7857142857142856), ('code', 1.7857142857142856), ('cook', 1.7857142857142856), ('cooking', 1.7857142857142856), ('count', 1.7857142857142856), ('cycles', 1.7857142857142856), ('does', 1.7857142857142856), ('error', 1.7857142857142856), ('failed', 1.7857142857142856), ('heater', 1.7857142857142856), ('installed', 1.7857142857142856), ('just', 1.7857142857142856), ('log', 1.7857142857142856), ('middle', 1.7857142857142856), ('new', 1.7857142857142856), ('oven', 1.7857142857142856), ('says', 1.7857142857142856), ('turning', 1.7857142857142856), ('week', 1.7857142857142856), ('2006213090071', 0.0), ('asset', 0.0), ('e2s', 0.0), ('gianna', 0.0), ('keeps', 0.0), ('merrychef', 0.0), ('ovens', 0.0), ('sh', 0.0), ('sn', 0.0), ('ss', 0.0)]","Gianna, SS, called in because new oven says heater failed. Keeps turning off in the middle of cooking cycles. Was just installed last week. Can not get cook count or error code log. SH: 430 am to 730pm SN:2006213090071 Asset: does not have MerryChef E2S Ovens - 1456",Power Supply
52,Other,"[('detected', 25.0), ('key', 25.0), ('press', 25.0), ('constant', 0.0)]",Constant key press detected,Constant Key Press
53,Other,"[('cooking', 10.0), ('food', 10.0), ('oven', 10.0), ('way', 10.0), ('left', 0.0)]",Left oven is not cooking the food all the way,Food Not Cooking Properly
64,Other,"[('cook', 16.666666666666664), ('correctly', 16.666666666666664), ('food', 16.666666666666664), ('items', 16.666666666666664), ('wont', 16.666666666666664)]",It wont cook food items correctly,Air Filter Error
65,Other,"[('cooking', 15.384615384615385), ('completing', 7.6923076923076925), ('cycle', 7.6923076923076925), ('items', 7.6923076923076925), ('seconds', 7.6923076923076925), ('oven', 0.0)]",Oven not completing cooking cycle. Only cooking items for a few seconds,101 Magnetron Failure
81,Other,"[('damaged', 50.0), ('handle', 0.0)]",Handle damaged,Broken Door Handle
82,Other,"[('constant', 12.5), ('detected', 12.5), ('key', 12.5), ('press', 12.5), ('service', 12.5), ('support', 12.5), ('warning', 0.0)]",Warning constant key press detected call service support,Constant Key Press
83,Other,"[('tray', 9.375), ('burned', 3.125), ('damaged', 3.125), ('inside', 3.125), ('melted', 3.125), ('needed', 3.125), ('oven', 3.125), ('plastic', 3.125), ('replacement', 3.125), ('scraping', 3.125), ('tried', 3.125), ('unusable', 3.125), ('partners', 0.0)]",Plastic was burned on the oven tray which damaged the tray and is now unusable. A replacement tray for the inside is needed. Partners tried scraping melted plastic off.,Tray/Peg Issue
93,Other,"[('allowing', 5.0), ('calling', 5.0), ('multiple', 5.0), ('reach', 5.0), ('store', 5.0), ('times', 5.0), ('tried', 5.0), ('unsuccessful', 5.0), ('use', 5.0), ('12am', 0.0), ('sh430am', 0.0)]",*tried calling store multiple times however its unsuccessful to reach them. Not allowing us to use it sh430am-12am,Loose Door Handle
98,Other,"[('cook', 20.0), ('pesto', 20.0), ('turkey', 20.0)]",Can not cook turkey pesto,102 Heater On Without Request
120,Other,"[('cooking', 3.7037037037037033), ('oven', 3.7037037037037033), ('powering', 3.7037037037037033), ('shooting', 3.7037037037037033), ('states', 3.7037037037037033), ('trouble', 3.7037037037037033), ('11p', 0.0), ('1456', 0.0), ('20062130090129', 0.0), ('30', 0.0), ('e2s', 0.0), ('issue', 0.0), ('merrychef', 0.0), ('ovens', 0.0), ('qr', 0.0), ('sarah', 0.0), ('sh', 0.0), ('shift', 0.0)]",Sarah-shift- states that oven is cooking and then powering off/ No trouble shooting for this issue/ Merrychef E2S Ovens - 1456/ QR# 20062130090129/ SH: 4:30-11p,116 Heater OFF on Request
122,Other,"[('1456', 4.0), ('called', 4.0), ('code', 4.0), ('error', 4.0), ('issues', 4.0), ('oven', 4.0), ('overheating', 4.0), ('11pm', 0.0), ('430am', 0.0), ('e2s', 0.0), ('gives', 0.0), ('mariah', 0.0), ('merrychef', 0.0), ('ovens', 0.0), ('sh', 0.0), ('shift', 0.0)]","Mariah, SHIFT called about issues with the Merrychef oven. Gives an error code about overheating. SH- 430am-11pm Merrychef E2S Ovens - 1456",Loose Door Handle
138,Other,"[('come', 4.3478260869565215), ('got', 4.3478260869565215), ('heating', 4.3478260869565215), ('new', 4.3478260869565215), ('pegs', 4.3478260869565215), ('plates', 4.3478260869565215), ('replace', 4.3478260869565215), ('said', 4.3478260869565215), ('level', 0.0), ('tech', 0.0), ('unit', 0.0)]","Unit Not Level, Tech said he would come back and replace the pegs for us when we got new heating plates.",Convection
153,Other,"[('working', 18.181818181818183), ('glitching', 9.090909090909092), ('screen', 9.090909090909092), ('troubleshoot', 9.090909090909092), ('did', 0.0)]",Did troubleshoot still not working screen is glitching and not working,Constant Key Press
154,Other,"[('code', 8.333333333333332), ('displaying', 8.333333333333332), ('error', 8.333333333333332), ('power', 8.333333333333332), ('warning', 8.333333333333332), ('1030pm', 0.0), ('oven', 0.0), ('sh430am', 0.0)]",Oven displaying warning error code. Will not power up. sh430am-1030pm,Constant Key Press
155,Other,"[('1456', 2.857142857142857), ('access', 2.857142857142857), ('cord', 2.857142857142857), ('left', 2.857142857142857), ('oven', 2.857142857142857), ('partner', 2.857142857142857), ('power', 2.857142857142857), ('reading', 2.857142857142857), ('reported', 2.857142857142857), ('11pm', 0.0), ('2006213090138', 0.0), ('30am', 0.0), ('7290303926', 0.0), ('asset', 0.0), ('chef', 0.0), ('constant', 0.0), ('detected', 0.0), ('e2s', 0.0), ('error', 0.0), ('hours', 0.0), ('key', 0.0), ('merry', 0.0), ('merrychef', 0.0), ('ovens', 0.0), ('press', 0.0), ('serial', 0.0), ('shift', 0.0), ('store', 0.0), ('zoe', 0.0)]",Zoe Shift reported the left Merry Chef oven is reading Constant Key Press Detected Error. The partner can't access the power cord. Serial-2006213090138 Asset-7290303926 Store Hours- 4:30AM-11PM Merrychef E2S Ovens - 1456,116 Heater OFF on Request
158,Other,"[('closed', 11.11111111111111), ('door', 11.11111111111111), ('open', 11.11111111111111), ('registering', 0.0)]",Registering that door is open even when closed.,Close Door Error
159,Other,"[('comes', 7.6923076923076925), ('consistently', 7.6923076923076925), ('odd', 7.6923076923076925), ('odor', 7.6923076923076925), ('oven', 7.6923076923076925), ('smoke', 0.0)]",Smoke consistently comes out the side of oven. Very odd odor.,Smoking
173,Other,"[('constant', 14.285714285714285), ('detected', 14.285714285714285), ('key', 14.285714285714285), ('press', 14.285714285714285), ('working', 14.285714285714285)]",*constant key press detected Not working,Constant Key Press
174,Other,"[('screen', 9.090909090909092), ('service', 9.090909090909092), ('support', 9.090909090909092), ('working', 9.090909090909092), ('touch', 0.0)]",Touch screen not working **call service support**,Constant Key Press
176,Other,"[('oven', 9.090909090909092), ('peel', 9.090909090909092), ('started', 9.090909090909092)]",The top of the oven has started to peel off.,103 Ambient Overtemp
180,Other,"[('clean', 6.666666666666667), ('continues', 6.666666666666667), ('filter', 6.666666666666667), ('giving', 6.666666666666667), ('message', 6.666666666666667), ('problem', 6.666666666666667), ('removed', 6.666666666666667), ('keeps', 0.0), ('tried', 0.0)]",Keeps giving a filter removed message. Tried to clean it out but problem continues,Air Filter Error
184,Other,"[('error', 16.666666666666664), ('frozen', 16.666666666666664), ('message', 16.666666666666664), ('screen', 0.0)]",Screen is frozen on error message,102 Heater On Without Request
212,Other,"[('button', 2.941176470588235), ('calibration', 2.941176470588235), ('constant', 2.941176470588235), ('detected', 2.941176470588235), ('key', 2.941176470588235), ('lpading', 2.941176470588235), ('non', 2.941176470588235), ('press', 2.941176470588235), ('push', 2.941176470588235), ('responsive', 2.941176470588235), ('said', 2.941176470588235), ('says', 2.941176470588235), ('screen', 2.941176470588235), ('service', 2.941176470588235), ('support', 2.941176470588235), ('touch', 2.941176470588235), ('turn', 2.941176470588235), ('went', 2.941176470588235), ('white', 2.941176470588235), ('oven', 0.0)]",Oven screen says constant key press detected call service support. Then said lpading touch calibration and went white. Screen is non responsive and will not turn off with push of the button,Constant Key Press
213,Other,"[('detected', 25.0), ('key', 25.0), ('press', 25.0), ('constant', 0.0)]",Constant key press detected,Constant Key Press
217,Other,"[('screen', 16.666666666666664), ('working', 16.666666666666664), ('touch', 0.0)]",Touch screen not working at all,Constant Key Press
245,Other,"[('constant', 10.0), ('detected', 10.0), ('key', 10.0), ('press', 10.0), ('service', 10.0), ('support', 10.0), ('warning', 10.0), ('says', 0.0)]",Says warning constant key press detected. Call service support,Constant Key Press
246,Other,"[('constant', 11.11111111111111), ('detected', 11.11111111111111), ('key', 11.11111111111111), ('machine', 11.11111111111111), ('press', 11.11111111111111), ('respond', 11.11111111111111), ('wont', 11.11111111111111)]",*constant key press detected I machine wont respond,Constant Key Press
247,Other,"[('detected', 14.285714285714285), ('key', 14.285714285714285), ('press', 14.285714285714285), ('service', 14.285714285714285), ('support', 14.285714285714285), ('constant', 0.0)]",Constant key press detected call service support,Constant Key Press
248,Other,"[('needs', 20.0), ('replacement', 20.0), ('tray', 20.0), ('oven', 0.0), ('right', 0.0)]",Right Oven tray needs replacement,Cavity
290,Other,"[('guide', 6.122448979591836), ('asked', 2.0408163265306123), ('correctly', 2.0408163265306123), ('determine', 2.0408163265306123), ('easy', 2.0408163265306123), ('follow', 2.0408163265306123), ('guardian', 2.0408163265306123), ('isn', 2.0408163265306123), ('module', 2.0408163265306123), ('partners', 2.0408163265306123), ('send', 2.0408163265306123), ('shooting', 2.0408163265306123), ('stores', 2.0408163265306123), ('trouble', 2.0408163265306123), ('troubleshooting', 2.0408163265306123), ('ultimately', 2.0408163265306123), ('working', 2.0408163265306123)]",“Follow troubleshooting guide to determine why the guardian module isn’t working correctly. This will ultimately be the trouble shooting guide they send to the stores. We are being asked to see if this guide will be easy to follow for their partners.”,No Power
291,Other,"[('screen', 6.0), ('happens', 4.0), ('touch', 4.0), ('begin', 2.0), ('calibration', 2.0), ('comes', 2.0), ('does', 2.0), ('let', 2.0), ('oven', 2.0), ('pass', 2.0), ('reads', 2.0), ('release', 2.0), ('sign', 2.0), ('thing', 2.0), ('tried', 2.0), ('turn', 2.0), ('warning', 2.0)]","Oven screen reads ""release touch screen to begin calibration"" and it does not let us by pass it then a warning sign comes up but nothing happens when we touch the screen. We tried to turn oven off and back on and the same thing happens.",Constant Key Press
293,Other,"[('does', 8.333333333333332), ('heat', 8.333333333333332), ('respond', 8.333333333333332), ('screen', 8.333333333333332), ('start', 8.333333333333332), ('touch', 8.333333333333332), ('wont', 8.333333333333332), ('oven', 0.0)]",Oven wont start to heat up and touch screen does not respond,103 Ambient Overtemp
294,Other,"[('message', 4.444444444444445), ('click', 2.2222222222222223), ('constant', 2.2222222222222223), ('detected', 2.2222222222222223), ('giving', 2.2222222222222223), ('key', 2.2222222222222223), ('let', 2.2222222222222223), ('press', 2.2222222222222223), ('says', 2.2222222222222223), ('screen', 2.2222222222222223), ('service', 2.2222222222222223), ('support', 2.2222222222222223), ('tried', 2.2222222222222223), ('turning', 2.2222222222222223), ('doesn', 0.0), ('oven', 0.0)]","Oven doesn't let us click on it and there is a message that says, ""constant key press detected. Call service support"" tried turning it on and off, but it is still giving the same message on the screen.",Constant Key Press
320,Other,"[('serial', 3.0303030303030303), ('install', 2.0202020202020203), ('numbers', 2.0202020202020203), ('oven', 2.0202020202020203), ('100', 1.0101010101010102), ('516', 1.0101010101010102), ('616', 1.0101010101010102), ('811019', 1.0101010101010102), ('arrival', 1.0101010101010102), ('complete', 1.0101010101010102), ('disposal', 1.0101010101010102), ('dispose', 1.0101010101010102), ('installed', 1.0101010101010102), ('new', 1.0101010101010102), ('offsite', 1.0101010101010102), ('old', 1.0101010101010102), ('ovens', 1.0101010101010102), ('remove', 1.0101010101010102), ('removed', 1.0101010101010102), ('schedule', 1.0101010101010102), ('store', 1.0101010101010102), ('tech', 1.0101010101010102), ('total', 1.0101010101010102), ('comments', 0.0), ('completion', 0.0), ('dual', 0.0), ('good', 0.0), ('guardian', 0.0), ('job', 0.0), ('merrychef', 0.0), ('number', 0.0), ('photo', 0.0), ('placement', 0.0), ('po', 0.0), ('replacement', 0.0), ('report', 0.0), ('required', 0.0), ('tested', 0.0)]","***DUAL MERRYCHEF Oven Replacement*** $516 for install, $100 for disposal, $616 total PO Please schedule w/ store before tech arrival to complete install Job: remove then dispose offsite old oven Install two new MERRYCHEF ovens Report back all serial numbers removed and serial numbers installed PHOTO OF OVEN PLACEMENT NOW REQUIRED! Completion Comments New Oven 1 Serial Number: Guardian Serial: Tested: GOOD New Oven 2 Serial Number: Guardian Serial: Tested: GOOD Old oven serial #s: PO #811019",116 Heater OFF on Request
321,Other,"[('required', 3.4090909090909087), ('included', 2.272727272727273), ('parts', 2.272727272727273), ('attached', 1.1363636363636365), ('cable', 1.1363636363636365), ('cables', 1.1363636363636365), ('completion', 1.1363636363636365), ('data', 1.1363636363636365), ('date', 1.1363636363636365), ('enclosed', 1.1363636363636365), ('information', 1.1363636363636365), ('instruction', 1.1363636363636365), ('kit', 1.1363636363636365), ('label', 1.1363636363636365), ('need', 1.1363636363636365), ('office', 1.1363636363636365), ('package', 1.1363636363636365), ('printed', 1.1363636363636365), ('procedures', 1.1363636363636365), ('return', 1.1363636363636365), ('returned', 1.1363636363636365), ('sheet', 1.1363636363636365), ('shipped', 1.1363636363636365), ('swap', 1.1363636363636365), ('tags', 1.1363636363636365), ('ties', 1.1363636363636365), ('09', 0.0), ('21', 0.0), ('addison', 0.0), ('firmware', 0.0), ('instructions', 0.0), ('kccm', 0.0), ('market', 0.0), ('module', 0.0), ('replacement', 0.0), ('srb', 0.0), ('technicians', 0.0), ('turbo', 0.0), ('update', 0.0), ('usb', 0.0)]","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
349,Other,"[('required', 3.488372093023256), ('included', 2.3255813953488373), ('parts', 2.3255813953488373), ('attached', 1.1627906976744187), ('cable', 1.1627906976744187), ('cables', 1.1627906976744187), ('completion', 1.1627906976744187), ('data', 1.1627906976744187), ('date', 1.1627906976744187), ('information', 1.1627906976744187), ('instruction', 1.1627906976744187), ('kit', 1.1627906976744187), ('label', 1.1627906976744187), ('need', 1.1627906976744187), ('office', 1.1627906976744187), ('package', 1.1627906976744187), ('printed', 1.1627906976744187), ('procedures', 1.1627906976744187), ('return', 1.1627906976744187), ('returned', 1.1627906976744187), ('sheet', 1.1627906976744187), ('shipped', 1.1627906976744187), ('swap', 1.1627906976744187), ('tags', 1.1627906976744187), ('ties', 1.1627906976744187), ('09', 0.0), ('21', 0.0), ('addison', 0.0), ('firmware', 0.0), ('instructions', 0.0), ('kccm', 0.0), ('market', 0.0), ('module', 0.0), ('replacement', 0.0), ('srb', 0.0), ('technicians', 0.0), ('turbo', 0.0), ('update', 0.0), ('usb', 0.0)]","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label",Menu Issue
402,Other,"[('constant', 10.0), ('detected', 10.0), ('key', 10.0), ('press', 10.0), ('says', 10.0), ('service', 10.0), ('support', 10.0), ('oven', 0.0)]","Oven says ""constant key press detected call service support",Constant Key Press
405,Other,"[('door', 6.666666666666667), ('oven', 6.666666666666667), ('appear', 3.3333333333333335), ('closed', 3.3333333333333335), ('displays', 3.3333333333333335), ('error', 3.3333333333333335), ('intermittent', 3.3333333333333335), ('issue', 3.3333333333333335), ('open', 3.3333333333333335), ('starting', 3.3333333333333335), ('left', 0.0)]","Left side oven displays ""oven door open"" error even though the door is closed. It is an intermittent issue and is starting to appear more often.",Power Supply
409,Other,"[('door', 5.714285714285714), ('jolted', 5.714285714285714), ('display', 2.857142857142857), ('easily', 2.857142857142857), ('fine', 2.857142857142857), ('inside', 2.857142857142857), ('sensitive', 2.857142857142857), ('slams', 2.857142857142857), ('works', 2.857142857142857), ('oven', 0.0)]","Oven works fine, but the display jolted inside. Oven door seems to be more sensitive than the other door in that it slams easily which is why it may have jolted around.",tool
