Asset Name,Work Order Address,Date/Time Created,Customer Name,Work Description,Completion Note,Part Description,Quantity,Part Name,WO#,Billing Account Name,Completion_Note_cleaned
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-11-11 08:52:39,22633 Starbucks Corporate,"2006213090069:Door Gasket/Seal:Part of the left oven door gasket is missing, not exactly sure what happened or when the part ripped off. It gives us a message that the door is open at times when it is closed, so I'm just wondering if this part of the sealant is missing is causing the problem. Thank you","Trip 1 (Bob):
Oven Type + side 2006213090069 L 
Cook Count l: 245054
Faults EF

Issues Found:
•Defective SW3 door switch.
•Door seal torn.
•Right hinge worn.

Resolutions:
•Replaced switch and door seal. No Replacement hinges on-hand. Will return, oven is usable.
•
•

Trip 2 (Bruce):
Replaced both door hinges, cleaned air filter, ran recommission tests, all passed

Voltage 208V
Amperage 
Left: 8.8A
Right: 8.7A
Heater Amperage: 10.8

Oven operating nominally","Door Seal, E2S",1,PSB316,ST22633029,Starbucks,trip 1 BobOven Type side 2006213090069 L Cook Count l 245054faults efissue found•defective SW3 door switch•door seal torn•right hinge wornresolutions•replace switch door seal Replacement hinge onhand return oven usable••Trip 2 BruceReplaced door hinge clean air filter run recommission test passedvoltage 208vamperage leave 88aright 87aheater amperage 108oven operate nominally
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-11-11 08:52:39,22633 Starbucks Corporate,"2006213090069:Door Gasket/Seal:Part of the left oven door gasket is missing, not exactly sure what happened or when the part ripped off. It gives us a message that the door is open at times when it is closed, so I'm just wondering if this part of the sealant is missing is causing the problem. Thank you","Trip 1 (Bob):
Oven Type + side 2006213090069 L 
Cook Count l: 245054
Faults EF

Issues Found:
•Defective SW3 door switch.
•Door seal torn.
•Right hinge worn.

Resolutions:
•Replaced switch and door seal. No Replacement hinges on-hand. Will return, oven is usable.
•
•

Trip 2 (Bruce):
Replaced both door hinges, cleaned air filter, ran recommission tests, all passed

Voltage 208V
Amperage 
Left: 8.8A
Right: 8.7A
Heater Amperage: 10.8

Oven operating nominally",Short Lever Microswitch,1,30Z1566,ST22633029,Starbucks,trip 1 BobOven Type side 2006213090069 L Cook Count l 245054faults efissue found•defective SW3 door switch•door seal torn•right hinge wornresolutions•replace switch door seal Replacement hinge onhand return oven usable••Trip 2 BruceReplaced door hinge clean air filter run recommission test passedvoltage 208vamperage leave 88aright 87aheater amperage 108oven operate nominally
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-11-11 08:52:39,22633 Starbucks Corporate,"2006213090069:Door Gasket/Seal:Part of the left oven door gasket is missing, not exactly sure what happened or when the part ripped off. It gives us a message that the door is open at times when it is closed, so I'm just wondering if this part of the sealant is missing is causing the problem. Thank you","Trip 1 (Bob):
Oven Type + side 2006213090069 L 
Cook Count l: 245054
Faults EF

Issues Found:
•Defective SW3 door switch.
•Door seal torn.
•Right hinge worn.

Resolutions:
•Replaced switch and door seal. No Replacement hinges on-hand. Will return, oven is usable.
•
•

Trip 2 (Bruce):
Replaced both door hinges, cleaned air filter, ran recommission tests, all passed

Voltage 208V
Amperage 
Left: 8.8A
Right: 8.7A
Heater Amperage: 10.8

Oven operating nominally",Door Hinge Assy,2,31Z1374,ST22633029,Starbucks,trip 1 BobOven Type side 2006213090069 L Cook Count l 245054faults efissue found•defective SW3 door switch•door seal torn•right hinge wornresolutions•replace switch door seal Replacement hinge onhand return oven usable••Trip 2 BruceReplaced door hinge clean air filter run recommission test passedvoltage 208vamperage leave 88aright 87aheater amperage 108oven operate nominally
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-11-22 16:30:09,22633 Starbucks Corporate,2006213090069:Foul Odor:Something internal is causing a smell like melted plastic or burned rubber,"Spoke with Ricky shift supervisor, he said oven has been cleaned and they have used it all morning with no issues, he said no service needed at this time PHR",nan,0,,ST22633030,Starbucks,Spoke Ricky shift supervisor say oven clean use morning issue say service need time PHR
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-11-24 10:28:50,22633 Starbucks Corporate,"2006213090069:Foul Odor:9257854051 Repeat of WT#25414242 Kate SHFT Reporting L Merrychef E2S Oven, Smells like burning plastic or melting rubber inside the oven, also smokes, No Error, has cleaned the oven, no trouble shooting for this issue Merrychef E2S Ovens - All Issues KB0012272 7290124850 Serial#:2006213090069 S/H ?am-4pm Today 4am-10pm Fri","Left oven 
Cook count 248524
208v
No errors 

Inspected oven
Could not duplicate customer complaint 
L mag 8.7
R mag 8.6
Heater 9.8
All other functions working properly 
Cook plate and stubs look to be in good condition 
All other functions working properly
Closed with FCC at 0721pst",nan,0,,ST22633031,Starbucks,leave oven Cook count 248524208vno error inspect ovencould duplicate customer complaint L mag 87r mag 86heater 98all function work properly Cook plate stub look good condition function work properlyclose FCC 0721pst
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2023-01-23 15:28:08,22633 Starbucks Corporate,2006213090069:Other:Display slanted,"Left Oven
Cook Count: 160288
Faults: None
Voltage: 208(211)
Amps: Right: 8.6
             Left: 8.9
Heater Amps: 10.6

Issue: Found faulty display. 

Resolution: Replaced display

Dispatch Please Close with FCC","Touch Screen PC Board, QTS UI",1,P30Z5009,ST22633032,Starbucks,leave OvenCook Count 160288faults NoneVoltage 208211amp right 86 Left 89heater Amps 106issue find faulty display Resolution replace displaydispatch please close FCC
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2023-03-18 10:03:34,22633 Starbucks Corporate,2006213090069:116 Heater OFF on Request:Error message on left oven when we try to warm something. Does not go away when we turn off and on again,"Left Oven
Cook Count: 282343
Faults: E116 No Heat
Voltage: 208(211)
Amps: Right: 8.7
             Left: 8.5
Heater Amps: 11.2

Issue: Found Oven Not Heating. SRB not sending power to heaters 

Resolution: Replaced SRB

Closed with FCC at 1148PST",Control PCB UNI SRB,1,P30Z5021,ST22633033,Starbucks,leave OvenCook Count 282343faults E116 HeatVoltage 208211amp right 87 Left 85heater Amps 112issue find Oven Heating SRB send power heater Resolution replace SRBClosed FCC 1148pst
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2023-04-02 08:42:56,22633 Starbucks Corporate,2006213090069:Constant Key Press:Warning sign on left oven. Will not start. As per store they are unable to unplug the oven due to outlet location,"Called store to give eta and SS had already cycled power
Oven operational 
PHR",nan,0,,ST22633034,Starbucks,call store give eta SS already cycle poweroven operational PHR
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2023-06-20 08:49:11,22633 Starbucks Corporate,2006213090069:101 Magnetron Failure:Hasnt been heating food all the way through now there is an error code,"Left oven 
CC 310374
E101
208v

Found right magnetron not energizing 
Had burnt antennas and clogged
Replaced both mags and right side diode

After replacements 
Mags at 8.7 each
All other functions working properly","Diode Replacement Kit, Eikon",1,PSR109,ST22633035,Starbucks,leave oven CC 310374e101208vfound right magnetron energize burn antenna cloggedreplace mag right side diodeafter replacement Mags 87 eachall function work properly
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2023-06-20 08:49:11,22633 Starbucks Corporate,2006213090069:101 Magnetron Failure:Hasnt been heating food all the way through now there is an error code,"Left oven 
CC 310374
E101
208v

Found right magnetron not energizing 
Had burnt antennas and clogged
Replaced both mags and right side diode

After replacements 
Mags at 8.7 each
All other functions working properly","Magnetron, Toshiba 2M303H Based",2,P30Z1415,ST22633035,Starbucks,leave oven CC 310374e101208vfound right magnetron energize burn antenna cloggedreplace mag right side diodeafter replacement Mags 87 eachall function work properly
nan,2710 Dublin Blvd Dublin CA 94568 US,2023-06-21 05:52:12,22633 Starbucks Corporate,2006213090069:101 Magnetron Failure:Hasnt been heating food all the way through now there is an error code,Mag warranty,nan,0,,ST22633036,Welbilt,Mag warranty
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2023-08-10 11:59:51,22633 Starbucks Corporate,"2006213090069:Air Filter Error:The over keeps saying ""Replace air filter"" and stops warming food mid way through the time. But the air filter is on the oven..has been happening for a few days","Oven: left
Cook Count: 325,222
Faults: 
Voltage: 208
Amps: Right: 8.5
             Left: 8.5
Heater Amps: 10.7

Issue: bad air filter switch 

Resolution: replaced air filter switch. Oven runs properly",Air Filter Microswitch E2S,1,30Z1562,ST22633037,Starbucks,Oven leftcook count 325222faults voltage 208amp right 85 Left 85heater amp 107issue bad air filter switch Resolution replace air filter switch Oven run properly
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2023-09-18 08:34:57,22633 Starbucks Corporate,2006213090069:Constant Key Press:Service request,"Called the store and spoke with Wanda. The oven is reading constant key press detected. Had Wanda power cycle oven. This fixed the issue. 

Closed with FCC at 1019PST",nan,0,,ST22633038,Starbucks,call store speak Wanda oven read constant key press detect Wanda power cycle oven fix issue Closed FCC 1019pst
2006213090070,2710 Dublin Blvd Dublin CA 94568 US,2021-01-31 06:21:48,22633 Starbucks Corporate,"2006213090070:Other:When it was finished heating up it said ""WARNING CONSTANT KEY PRESS DETECTED CALL SERVICE SUPPORT"" X: 55 Y: 66 sh 5am-9pm","Power cycled oven, ran diagnostic tests, downloaded error log

Oven operating nominally

Closed with FCC @ 1640 PST",nan,0,,ST22633014,Starbucks,power cycle oven run diagnostic test download error logoven operate nominallyclosed FCC 1640 PST
2006213090070,2710 Dublin Blvd Dublin CA 94568 US,2021-10-25 06:05:51,22633 Starbucks Corporate,2006213090070:101 Magnetron Failure:Oven has error message e101,"Right Oven
Cook Count: 62935

Tested oven found control board reading 240v on a 208v circuit. Replaced SRB 

Left Mag: 8.6
Right Mag: 8.4
Heater: 11.4
Blower and all fans are operational. Set date and time. 


Closed with FCC at 1450PST",Control PCB UNI SRB,1,P30Z5021,ST22633019,Starbucks,right OvenCook Count 62935tested oven find control board read 240v 208v circuit replace SRB Left Mag 86Right Mag 84heater 114blower fan operational Set date time Closed FCC 1450pst
TurboChef,2710 Dublin Blvd Dublin CA 94568 US,2022-03-14 04:07:21,22633 Starbucks Corporate,"2006213090070:Other:Display saying ""warning constant key press detected call service support"" and an error saying release touch screen","SS Wanda cycled power, oven now warming.",nan,0,,ST22633022,Starbucks,SS Wanda cycle power oven warm
2006213090070,2710 Dublin Blvd Dublin CA 94568 US,2023-11-24 11:35:48,22633 Starbucks Corporate,"2006213090070:116 Heater OFF on Request:After cleaning the oven and letting it warm up and using it for a few sandwiches, all of a sudden an error code popped up and said ""heater failed"". Not too sure what else could be done to fix the error message. Thank you.","Right Oven
Cook Count: 169860
Faults: E116
Voltage: 208(210)
Amps: Right: 8.7
             Left: 8.3
Heater Amps: 10.2

Issue: Found SRB not sending power to heaters 

Resolution: Replaced SRB 

Closed with FCC at 0857PST",Control PCB UNI SRB,1,P30Z5021,ST22633039,Starbucks,right OvenCook Count 169860faults e116voltage 208210amps right 87 Left 83heater Amps 102issue find srb send power heater Resolution replace SRB Closed FCC 0857pst
2006213090070,2710 Dublin Blvd Dublin CA 94568 US,2024-05-27 09:51:32,22633 Starbucks Corporate,2006213090070:101 Magnetron Failure:Error code pictured. Keeps happening no matter what we do,"ISSUE REPORTED : magnetron failure 

PROBLEMS FOUND : magnetron failure , both mags damaged 

RESOLUTION: replaced both magnetrons with new. Turned oven on, checked ovens diagnostics and ran cook test cycle: oven is working to manufacture specs without having magnetron failure","Magnetron, Toshiba 2M303H Based",2,P30Z1415,ST22633040,Starbucks,issue report magnetron failure problems FOUND magnetron failure mag damage RESOLUTION replace magnetron new Turned oven check oven diagnostic run cook test cycle oven work manufacture spec without magnetron failure
nan,4448 Lone Tree Wy Antioch CA 94531 US,2020-09-11 07:39:22,5345 Starbucks Corporate,"2006213090071:Other:Chico Shift called because they had two new ovens installed last night. This morning there was a sticky note on one that said this oven overheats, call in for maintenance. When the oven is turned on it gives a message that says its overheating and it won't actually start. Error Code E104 These Are the newer black EICON ovens No Trbl Available Serial #2006213090071 Store Hours 5 am- 7:30 pm","Left 
Cook Count 0
E104

Cavity stat misreading temperature.

Disconnected and reconnected wiring.
Observed warmup, heater drawing 9 amps, cycling.
Ran recommission test routine, passed.
Ran several menu items, test ok.",nan,0,,ST5345004,Welbilt,leave Cook Count 0e104cavity stat misread temperaturedisconnecte reconnecte wiringobserve warmup heater draw 9 amp cyclingRan recommission test routine passedRan several menu item test
2006213090071,4448 Lone Tree Wy Antioch CA 94531 US,2020-09-21 12:19:21,5345 Starbucks Corporate,"2006213090071:Other:Gianna, SS, called in because new oven says heater failed. Keeps turning off in the middle of cooking cycles. Was just installed last week. Can not get cook count or error code log. SH: 430 am to 730pm SN:2006213090071 Asset: does not have MerryChef E2S Ovens - 1456","Left 
Cook Count 1431
E116

Virtual keyboards are blank. Merrychef emailed a firmware update and recommends replacing SRB. Will need to return.

9/23/20
Reflashed firmware, updated CBR file.
Reset D&T.
Ran recommission tests.
Ran several menu items, test ok.
Virtual keyboard still blank. Right oven is also blank.
Will close call, mgt has been updated.",nan,0,,ST5345005,Welbilt,leave Cook Count 1431e116virtual keyboard blank Merrychef email firmware update recommend replace SRB need return92320reflashed firmware update CBR filereset DTRan recommission testsran several menu item test okvirtual keyboard still blank right oven also blankwill close call mgt update
