Completion Note,Description,Category,WO#
nan,Touch screen is unresponsive half of the time,Display Issue,ST10830022
"Left Oven
Cook Count: 60215

Found oven in use, customer says it has not smelled all day. 

Smell likely from food debris or oven cleaner.

Unable to duplicate issue.

Left Mag: 8.2
Right Mag: 8.3
Heater: 10.7
Blower and all fans are operational. Set date and time. 


Closed with FCC at 1519PST",Left oven has terrible smell multiple times a day and goes away within ten minutes. We cleaned the filter and scrubbed all inside with sanitizer and oven cleaner but nothing helps,Door,ST22633016
"PHR with Stephanie 
Had her cycle power","Getting a ""constant key press detected. Call service support."" Message on screen",Constant Key Press,ST22633017
"Called spoke with Ralph had him power cycle the oven, this fixed the issue. Closed with FCC at 1102PST","Warning code constant key press detected call service support X:308, y:233",Constant Key Press,ST22633018
"Left Oven
Cook Count: 138,600

Found oven reading constant key press detected. Power cycled and reheated oven. 

Left Mag: 8.4
Right Mag: 8.2
Heater: 11.1
Blower and all fans are operational. Set date and time. 


Closed with FCC at 0922PST",Screen says constant key press detected,Constant Key Press,ST22633020
"Left oven 
CC 145069
Constant key press 

Ovens on on arrival
All functions working properly 
L mag 8.3,R mag 8.3
Current menu holiday 22
Tested with cook

Closed with FCC at 1703pst","Constant key press detected, turned off oven 3 times and message still there. Left oven",Constant Key Press,ST22633021
"Called spoke with Alexa had her power cycle the oven this fixed the issue. 

Closed with FCC at 1043PST",Constant key press - Wouldnt let us push any buttons and then shut down to this screen ***tried to call store to resolve on the phone but there was no answer,Constant Key Press,ST22633024
"Left Oven
Cook Count: 204517
Faults: None
Voltage: 208(210)
Amps: Right: 8.3
             Left: 8.2
Heater Amps: 10.2

Issue: Oven has damaged cook tray and studs.

Resolution: Had FSM order two cook plates. Will call both ovens in after cook plates arrove.

Closed with FCC at 1613PST","Oven is making a noise whenever trying to cook something. The timer will pause for a second or two and noise will start. Before noticing said issue, parchment of a cookie caught on fire inside the oven.",Loud Noises,ST22633025
Stubs and tray causing arching and noise. Store manager will order two cook trays and call both ovens back in,"Alexis (Shift) called because the MerryChef Assest#:7290124850 is not heating food items correctly and has been making strange noises including a knocking and a grinding sound. Previous ticket #19926166 from 6/25 is listed as completed, however the issue persists. Store hrs:4a-10p KBA 12272",Loud Noises,ST22633026
"Had manager cycle power 
Oven now operational
PHR
Closed with FCC at 1834pst",Touch screen is unresponsive half of the time,Constant Key Press,ST22633028
"Spoke with Ricky shift supervisor, he said oven has been cleaned and they have used it all morning with no issues, he said no service needed at this time PHR",Something internal is causing a smell like melted plastic or burned rubber,Foul Odor,ST22633030
"Left oven 
Cook count 248524
208v
No errors 

Inspected oven
Could not duplicate customer complaint 
L mag 8.7
R mag 8.6
Heater 9.8
All other functions working properly 
Cook plate and stubs look to be in good condition 
All other functions working properly
Closed with FCC at 0721pst","9257854051 Repeat of WT#25414242 Kate SHFT Reporting L Merrychef E2S Oven, Smells like burning plastic or melting rubber inside the oven, also smokes, No Error, has cleaned the oven, no trouble shooting for this issue Merrychef E2S Ovens - All Issues KB0012272 7290124850 Serial#:2006213090069 S/H ?am-4pm Today 4am-10pm Fri",Foul Odor,ST22633031
"Called store to give eta and SS had already cycled power
Oven operational 
PHR",Warning sign on left oven. Will not start. As per store they are unable to unplug the oven due to outlet location,Constant Key Press,ST22633034
Mag warranty,Hasnt been heating food all the way through now there is an error code,101 Magnetron Failure,ST22633036
"Called the store and spoke with Wanda. The oven is reading constant key press detected. Had Wanda power cycle oven. This fixed the issue. 

Closed with FCC at 1019PST",Service request,Constant Key Press,ST22633038
"Power cycled oven, ran diagnostic tests, downloaded error log

Oven operating nominally

Closed with FCC @ 1640 PST","When it was finished heating up it said ""WARNING CONSTANT KEY PRESS DETECTED CALL SERVICE SUPPORT"" X: 55 Y: 66 sh 5am-9pm",Constant Key Press,ST22633014
"SS Wanda cycled power, oven now warming.","Display saying ""warning constant key press detected call service support"" and an error saying release touch screen",Constant Key Press,ST22633022
"Left 
Cook Count 0
E104

Cavity stat misreading temperature.

Disconnected and reconnected wiring.
Observed warmup, heater drawing 9 amps, cycling.
Ran recommission test routine, passed.
Ran several menu items, test ok.","Chico Shift called because they had two new ovens installed last night. This morning there was a sticky note on one that said this oven overheats, call in for maintenance. When the oven is turned on it gives a message that says its overheating and it won't actually start. Error Code E104 These Are the newer black EICON ovens No Trbl Available Serial #2006213090071 Store Hours 5 am- 7:30 pm",116 Heater OFF on Request,ST5345004
"Left 
Cook Count 1431
E116

Virtual keyboards are blank. Merrychef emailed a firmware update and recommends replacing SRB. Will need to return.

9/23/20
Reflashed firmware, updated CBR file.
Reset D&T.
Ran recommission tests.
Ran several menu items, test ok.
Virtual keyboard still blank. Right oven is also blank.
Will close call, mgt has been updated.","Gianna, SS, called in because new oven says heater failed. Keeps turning off in the middle of cooking cycles. Was just installed last week. Can not get cook count or error code log. SH: 430 am to 730pm SN:2006213090071 Asset: does not have MerryChef E2S Ovens - 1456",Power Supply,ST5345005
"Left oven 
CC 81193
No errors 

Temperature of food in fridge both egg bites and bacon Gouda are at 28 degrees 
I cooked both items and still food warm enough to serve 192 degrees 
All other functions working properly 
Advise Sarah to have food warmer before cooking 
Mags at 16.8 amps
All other functions working properly
Closed with FCC at 1811pst",Left oven is not cooking the food all the way,Food Not Cooking Properly,ST5345016
Replaced left magnetron,Bella SS reported an oven(merry chef) making some noise on the interior part of the oven. ther's no available troubleshooting steps or KBs regarding this issue. KB0012272 KB0013980 QR#7290124996 Store hours: 4am - 8pm,Loud Noises,ST5345026
"ISSUE REPORTED: door feels loose when closing and opening 

PROBLEMS FOUND : door hinges secure mini plate loose.

RESOLUTION: tighter screws for hinges to remain in place as doors open and closes. Checked oven diagnostics in visual view . Ran cook test cycle : oven is working to manufacture specs",Door feels loose everytime you open or close it and it makes a squeaking noise,Loud Noises,ST5345029
"Right oven 
CC 28620
No errors 

L mag 8.4
R mag 8.4
Heater 10.9

Oven not heating items all the way through is the complaint 
Found back of oven connections from guardian module smashed some and poor connection 
Attached usb connection and reloaded menu
Ran several cooks with no failures 
Will have FSM order new guardian module 
Also found burn mark on cook plate with matching burn on inside oven door
Will order new cook plate and have sent to store
Emailed FSM to have a guardian module sent to this location

Closed with FCC at 1015pst",It wont cook food items correctly,Air Filter Error,ST5345010
"Cook count: 

Found oven showing Hol-21 menu (see attached picture), would not complete cook cycle for sandwich, when logging into tech menu oven had a blank keyboard (see attached picture). Suspect a bad Guardian module (on order from previous call).

Tested oven, disconnected Guardian module, reloaded firmware & menu, multiple food items cooked correctly.

Oven operating nominally.

Closed with FCC @ 1555 PST",Oven not completing cooking cycle. Only cooking items for a few seconds,Upper Impinger Plate,ST5345011
"Called, walked through troubleshooting with shift supervisor had them power cycle oven now back up and running",Oven will not pull up display constant,Constant Key Press,ST5345017
"Called the store and spoke with Christina. The oven is reading constant key press detected. Had Christina power cycle the oven this fixed the issue.

Closed with FCC at 1130PST",touch screen wont work,Constant Key Press,ST5345024
"ISSUE REPORTED : door is open error sometimes pop when cooking 

PROBLEMS FOUND : switch 1 mos aligned with manufacturer sequence 

RESOLUTION: re aligned switch 1 to manufacture sequence with s2, and s3. Turned oven on , checked door diagnostics in visual view. Ran cook test cycle : oven is working to manufacture specs",Called it in early today because the oven door wouldn't close completed. They came in to fix it but message it still on the screen,Close Door Error,ST5345028
"Found bolts on door handle missing on right side. Removed door and door skin, located bolts and replaced them using loctight. Replaced door. 
Tested and the unit is working within manufacture specifications. 
Closed with fcc",Handle damaged,Broken Door Handle,ST9928016
"W.T. ST9928018
PO# M 22583403
2006213090077
Lucien
8:00-9:00 am

Replaced touch screen.",Warning constant key press detected call service support,Constant Key Press,ST9928018
"Rht 82
Left 8.2
Fault - o86
Faults-101
Blower 100

Found unit up and running but has magnetron failure
Door ok 
Filter ok
208/205
L 4-3-8.7 amps 
R 3-4-8.6 amps 
H 10.6
Blower 10-100

Spoke with Mauricio, I will swap out the outlets and send Mauricio the error codes I was unable to reproduce error.",*tried calling store multiple times however its unsuccessful to reach them. Not allowing us to use it sh430am-12am,Loose Door Handle,ST24933010
"Completed 10/22/21 @ 820am

2006213090122
Left oven 
208volts 
8.3 L mag
8.3 R Mag
10.3 H amps 

Notes 
Glitch in menu and screen needed calibration
Tech updated firmware and menu and calibrated the touch screen
Tested the oven
All tests pass",Can not cook turkey pesto,102 Heater On Without Request,ST24933013
"208/
Cc 226131
Door and filter ok 
LM 8.9
RM 8.8
17.6 amps 
H 10.7
BF ok
RF 10-100 ok

Not letting us use the oven. We tuned it off and no luck . Damaged studs and tray causing arcing screen stuck 

Tested unit and all test passed calibrated screen",Not letting us use the oven. We tuned it off and no luck .,Constant Key Press,ST24933021
"*advised store to unplug the oven and plug it back in. Oven is working fine.
",*advised store to unplug the oven and plug it back in. Oven is working fine. Left oven giving us an error and not letting us use it,Constant Key Press,ST24933024
"Left MerryChef has no power due to the outlet only giving 1V informed Ray SS to input work order for electrician to get outlet repaired and then their oven will Be able to Turn on
Verified breaker is on and I ever tried to plug other oven in and still did not work 
Closing out call due to store needing electrician 
Left outlet","Hi, this oven stopped and wont restart. Thank you",No Power,ST24933026
"Right MerryChef 

208V

Faults zero p

Amps-17.0
Left Circuit-8.4
Right Circuit-8.6
Heaters-11.0

Checked EC, test unit, all test pass without faults.
Stirrer working properly
Air filter cleaned and positioned properly

Door saying open when door closed 
Caused by door switches needing adjustment 
Adjusted switches 
All test passed","Oven door will not sense when its closed, and continues to beep when closed.",Close Door Error,ST24933039
nan,"Oven suddenly turned off tried to unplug it, checking the back cables but it still wont turn on",Shuts Off,ST24933041
"E2S
20062130090129

Reloaded firmware and menu, tested unit all functions working properly.",Sarah-shift- states that oven is cooking and then powering off/ No trouble shooting for this issue/ Merrychef E2S Ovens - 1456/ QR# 20062130090129/ SH: 4:30-11p,104 Mag/Cavity Overheat Trip,ST51971009
"Right oven
Merrychef 
208 volts 
8.1 L mag amps 
8.2 R mag amps 
10.6 heater amps 
E104 error over heat stat 

Notes 
Air filter was very dirty and clogged with dust and debris 
Also found cook pan is damaged and cook studs in both ovens 
Replaced the most damaged studs and told store to order cook trays for oven 
Job completed","Mariah, SHIFT called about issues with the Merrychef oven. Gives an error code about overheating. SH- 430am-11pm Merrychef E2S Ovens - 1456",104 Mag/Cavity Overheat Trip,ST51971011
"LeftE2S 

Faults
0

Volts
208

Amps
R-8.1
L-8.3

Heater Amps 
10.9

Checked EC , cook plate is worn as well as cook cavity studs , advised partner to order new plates and open ticket for new cavity studs to be installed 

Tested unit all tests passed with zero faults 

Salah",Making weird electrical noise,Loud Noises,ST51971013
"Left MerryChef 2006213090129

208V

Faults zero

Amps-16.8
Left Circuit-8.4
Right Circuit-8.4
Heaters-10.7

Checked EC, test unit, all test pass without faults.
Stirrer working properly
Air filter cleaned and positioned properly

Cook plate arching on cook studs
Informed Mariah shift lead to order new cook plates for both ovens 
And then to re input ticket once cook plates arrive 
All test passed without any faults",Getting cold sandwhiches even when cooked on full time. Also making noises and randomly shutting off.,Food Not Cooking Properly,ST51971014
"RightE2S 

Faults
0

Volts
208

Amps
8.3
8.4

Heater Amps 
10.9

Checked EC, partner cooking frozen food educated partner about food being frozen staff made necessary adjustments to fridge , oven needs new cook plates and cook cavity studs informed SS Salah to order new plates .

Tested unit all tests passed with zero faults 

Salah",Not cooking sandwhiches. Cold middle,Food Not Cooking Properly,ST51971016
"208v

Left oven 

8.00 amps each circuit 
17.90 mag amps combined 

11.00 heater amps 

Faults 
Constant key press 

Upon inspecting unit found that the oven screen froze on constant key press 

Reset of unit and calibrated screen. 

Tested unit all working properly 

No other issues found",We dont have a key for the oven,Constant Key Press,ST51971027
"Left Merrychef 
208 vac
8.3,8.3 amps 
10.6 amps 
No faults 

Notes 
Door open error 
Found loose door switch and loose door Handel
Tightened everything back down
All tests pass",If we close the door on oven it doesn't recognize that its closed so the oven keeps beeping and delaying our food preparation.,Close Door Error,ST25047016
"Nothing wrong with machine
Customer called wrong one","Unit Not Level, Tech said he would come back and replace the pegs for us when we got new heating plates.",Convection,ST25047018
"Touchscreen malfunction


trouble shooting done",Touchscreen malfunction trouble shooting done,Constant Key Press,ST25047035
"MOD Chandler

Merrychef 
VAC 208
AMPS 8.7,8.8
COMBINED 17.5
HEATER AMPS 10.8
Faults: none 

Notes:
Tech observed power cord not fully plugged into outlet
Tech plugged oven power cord into outlet 
Conducted Op Test 
All Tests Passed",Did troubleshoot still not working screen is glitching and not working,Constant Key Press,ST25047041
Unit is working properly. Had paper covering air intake.,Oven displaying warning error code. Will not power up. sh430am-1030pm,Constant Key Press,ST9791007
"Completed 02/21/2022

S/N# 2006213090138

L amps 8.2

R amps 8.2

Notes—Door switches are fine and door is working properly. Faults for filter on error log. Made adjustments with door. All tests passed",Registering that door is open even when closed.,Power Supply,ST9791011
"Completed 4/8/2022

S/N#2006213090138

L amps—8.5

R amps—8.5

Heaters—10.7

Faults—0

Notes—amps are good. Voltage is good. Nothing appears to be broken or needing to be replaced. I explained to the customer how to clean the oven properly and to give us a call if problem worsens",Smoke consistently comes out the side of oven. Very odd odor.,Smoking,ST9791012
"Merrychef 
208
8.3,8.3 amps 
10.6 amps 

Notes 
Open door 
Found food debris blocking door from closing all the way, Tech removed product and adjusted door switches slightly","Oven door saying ""open door"" when door not opened",Close Door Error,ST9791014
"Merrychef
Left oven
8.3,8.3 amps
208ac


Door open issue
Adjusted door sensor
All tests good",Door sensor is broken,Close Door Error,ST9791015
"Merrychef
Left oven
208av
8.3,8.3amps


Unit had door open message
Adjusted door switch
All test pass",Door sensor messed up saying door open when not opened,Close Door Error,ST9791016
"*as per store they troubleshoot the oven and oven is working fine.
",*as per store they troubleshoot the oven and oven is working fine. Warming screen and we cant warm,Constant Key Press,ST9791017
"Right MerryChef 

E2S

2006213090208

208V

Amps-16.3 
Left Circuit-8.2 
Right Circuit-8.0
Heaters-10.3

Stirrer working properly 
Air filter cleaned

Constant finger press display error. 

Did a hard reset, unplugged unit for a full minute. Wiped down display. Checked EC, test unit, all test pass without faults. Informed shift supervisor Jonathan to ensure team members are not using their finger nails when pressing the display, as this can cause damage.",*constant key press detected Not working,Constant Key Press,ST11445012
PHR- unplug ant test by cooking food - oven is operational,Touch screen not working **call service support**,Constant Key Press,ST11445013
Installed plate all functions fine,The top of the oven has started to peel off.,Upper Impinger Plate,ST11445015
"Amps 8.2
Hz-60
Vac208 
Blower 100


Found filter in wrong I showed manager tested unit all functions fine closed with fcc pst",Keeps giving a filter removed message. Tried to clean it out but problem continues,103 Ambient Overtemp,ST11445020
"Completed 4/19/2022

S/N#2006213090208

L amps—7.4

R amps—7.4

Volts—204

Heaters—9.6

Faults—0

Notes—constant key press",Screen is frozen on error message,102 Heater On Without Request,ST11445025
"Left MerryChef2006213090208

208V

Faults zero

Amps-16.8
Left Circuit-8.4
Right Circuit-8.4
Heaters-11.0

Checked EC, test unit, all test pass without faults.
Stirrer working properly
Air filter cleaned and positioned properly 

Impinger plate fell 
Flipped and used other screw holes to hold up
All test passed without any faults",Top part inside of oven came off,Upper Impinger Plate,ST11445028
"Left MerryChef 2006213090208

208V

Faults constant key press 

Amps-17.6
Left Circuit-8.8
Right Circuit-8.8
Heaters-10.8

Checked EC, test unit, all test pass without faults.
Stirrer working properly
Air filter cleaned and positioned properly 

Constant key press 
Showed Celeste how to get rid of error by unplugging and plugging in oven 
Informed her why this happens and how to prevent by keeping display clean and only one touch at a time 
All test passed without any faults 
Celeste",Error message for touch screen not working properly,Constant Key Press,ST11445043
"Mod:Cathy
Sn#2006213090208
Main:240
Heater:10
Mags:8,8

Notes:
Tech responded to door close call 
Inspection found blown fuse 
Part replaced and tested 
All tests passed","The ""door is open"" message won't leave the screen even with the door closed",Close Door Error,ST11445052
"240/
Cc 346533
Door and filter ok 
LM 7.3
RM 7.4
H 9.6
BF ok
RF 10-100

Repeated issue with this particular oven. Close to 6?8 tickets regarding the door not closing correctly and giving an error message saying ""do not close"". Switches out of sequence dirty EC clogged vents and air filter causing over heating 

Tested unit all test passed","Repeated issue with this particular oven. Close to 6?8 tickets regarding the door not closing correctly and giving an error message saying ""do not close"".",Close Door Error,ST11445064
"Left MerryChef 

208V

Faults 

Amps-17.0
Left Circuit-8.4
Right Circuit-8.6
Heaters-11.0

Checked EC, test unit, all test pass without faults.
Stirrer working properly
Air filter cleaned and positioned properly

Constant key press detected 
Showed SS how to resolve error by unplugging unit from outlet for 10’seconds then plugging back in to give oven a hard reset. 
Calibrated units display
All test passed without any faults 
Josh","Touchscreen is not working. It gave an error code, please see photo. called the store spoke to Celeste said already unplug and replug the oven but display is stuck in calibration part.",Constant Key Press,ST11445065
"Mod:
Brand:Left Merrychef 
Sn#200621-309-0208
Main:208V
Heater:10.5A
Mags:8.2,8.3A

Notes:
Tech responded to fallen impinger plate
Inspection found",Roof on the inside of far left oven has fallen off track/threading is damaged for screws.,Upper Impinger Plate,ST11445070
"208/205
SP 500
Door 
Filter 
L 8.3 amps 
R 8.5 amps 
heaters 
10.7 amps
Touch screen screws are loose

Tested unit and all test passed no faults found

Note I was unable to reproduce error on touch screen",Oven screen says constant key press detected call service support. Then said lpading touch calibration and went white. Screen is non responsive and will not turn off with push of the button,Constant Key Press,ST3425017
"No service needed oven working as normal after reset. 

Closed fcc 8:50pm",Constant key press detected,Constant Key Press,ST3425018
"Left 2006213090215

Faults
E107
E087
E080

CC
172092

Volts
208

Amps 16.5
L 8.2
R 8.2

Heater 10.2
Blower ok 
Fan ok
Door ok 
Filter ok 

Reload firmware and menu
Recalibrate touch screen 
Reset day date and time 
Test systems and find zero faults 

Cook tray arcing out - notified Supervisor 

Shanti / Supervisor",Touch screen not working at all,Display Issue,ST3425025
Upon arrival store partner stated that oven is working fine no service rendered,Oven makes grinding sound when in use and smells like something is burning. Nothing is burning inside and there is no significant damage to the outside. Checked plugs and vents on back.,Loud Noises,ST3425040
"Left MerryChef 

208V

Faults constant key press 

Amps-17.0
Left Circuit-8.4
Right Circuit-8.6
Heaters-10.8

Checked EC, test unit, all test pass without faults.
Stirrer working properly
Air filter cleaned and positioned properly 

Constant key press detected 
Showed Jessica SS how to resolve error by unplugging unit from outlet for 10’seconds then plugging back in to give oven a hard reset. 
Calibrated units display
All test passed without any faults 
Jessica SS",Screen says call for service tried rebooting!,Constant Key Press,ST3425049
"Had SS Mathew cycle power, oven now warming.",Says warning constant key press detected. Call service support,Constant Key Press,ST11745012
"Cook count: 113735

Power cycled oven, tested oven, downloaded error log.

Oven operating nominally

Closed with FCC @ 1945 PST",Constant key press detected call service support,Constant Key Press,ST11745015
"Samantha Said she could order plate herself 
No service call needo

Closed with FCC at 1148pst",Right Oven tray needs replacement,Accessory,ST11745017
"Right 
Cook Count 146901

Intermittent door open.

Oven in use upon my arrival.
New door seal.
Observed partners letting door slam shut, door recoil may be causing fault.

Inspected door switches, adjusted primary switch to maximum action.
Tested multiple door cycles, saw no issues.
Cleaned EC and covers.
Ran system tests.
Suggested to SS to revise how to close door to prevent recoil.","Door does not register close properly and displays ""Door Open"" message",Close Door Error,ST11745019
"Oven: 2006213090265
Cook Count: 184112
Voltage: 208V
Mag Amps: 
Left: 8.3A
Right: 8.6A
Heater Amps: 10.6A
 
Issue: Air Filter message 
 
Resolution: Found filter was slightly bent not allowing complete contact with switch, removed panel and inspected & tested switch, operating normally, flattened filter, cleaned filter. Tested oven. 

Oven operating nominally",Continues to mot register air filter as properly placed. Inconsistent temperatures as a result.,Air Filter Error,ST11745021
"Oven: 2006213090265, Right 
Cook Count: 214388
Voltage: 207V
Mag Amps: 
Left: 8.2A
Right: 8.8A
Heater Amps: 10.7A
 
Issue: E104 error
 
Resolution: Oven in use when i arrived. Watched multiple items being cooked successfully. Inspected & tested oven, cleaned air filter, reloaded firmware & menu, ran recommission tests, all passed. Could not duplicate customer complaint.

Oven operating nominally",Overheat error,104 Mag/Cavity Overheat Trip,ST11745023
"Oven: 2006213090264, Left 
Cook Count: 136587
Voltage: 208V
Mag Amps: 
Left: 8.3A
Right: 8.5A
Heater Amps: 10.9A
 
Issue: E106 error 
 
Resolution: Oven in use when i arrived. Watched multiple items being cooked successfully. Inspected & tested oven, cleaned air filter, reloaded firmware & menu, ran recommission tests, all passed. Could not duplicate customer complaint.

Oven operating nominally",Overheat error,106 Cavity Overheat,ST11745024
"The right oven is showing a warning label, and not allowing anything to be heated, because it says there is a constant key press happening. Started: today at 3:40pm Have tried to turn it off, and it will turn off but it gets stuck in calibration and doesn't go any further than that.

Called store and asked to unplug and re-plug. Oven is now working fine.","The right oven is showing a warning label, and not allowing anything to be heated, because it says there is a constant key press happening. Started: today at 3:40pm Have tried to turn it off, and it will turn off but it gets stuck in calibration and doesn't go any further than that. Called store and asked to unplug and re-plug. Oven is now working fine.",Constant Key Press,ST11745026
"Oven Type + side 2006213090265 R
Cook Count 237847
Faults EF
Voltage 209
Amperage 16.8
Heater Amperage 10.7

Issues Found:
•Oven in use upon my arrival. Partners unaware of any issues.
•QTS has excessive play.
•

Resolutions:
•Shimmed QTS with foam packing.
•Lubed hinges.
•

Tested Unit, All test pass with 0 faults.",Door says open when still closed,Close Door Error,ST11745027
"Right oven
CC 267226
208v
No errors 

Oven in use on arrival 
Mags at 8.3, 8.4
Sausage sandwich in fridge temp was 42
Could not duplicate customer complaint",Customers have called to say food is not cooked thoroughly,Food Not Cooking Properly,ST11745030
"Oven: 2006213090264
Cook Count: 187057
Voltage: 208V
Mag Amps: 
Left: 8.4A 
Right: 8.5A
Heater Amps: 10.6A
 
Issue: Air filter error
 
Resolution: Found air filter switch loose. Tightened bracket nut, ran recommission tests, all passed. 

Oven operating nominally","Both ovens display a message saying the air filter is removed despite being in place. They will both sometimes display the message in the middle of warming, resetting the food",Air Filter Error,ST11745035
"Oven: 2006213090265, Right
Cook Count: 354287
Voltage: 208V
Mag Amps: 
Left: 8.7A
Right: 8.9A
Heater Amps: 10.8A
 
Issue: Constant Keypress 
 
Resolution: Power cycled oven, ran recommission tests, all passed.

Oven operating nominally",Constant key press detected,Constant Key Press,ST11745038
nan,Warning constant key press detected call service support,Constant Key Press,ST22716019
"Completion Comments
New Oven 1
Serial Number:2007213090045
Guardian Serial:0006332020
Tested: GOOD
 
LED 4 not on. Ran Scenario 4 procedure, Ethernet connector was loose. LED4 lighting.
Reset D&T.",“Follow troubleshooting guide to determine why the guardian module isn’t working correctly. This will ultimately be the trouble shooting guide they send to the stores. We are being asked to see if this guide will be easy to follow for their partners.”,Menu Issue,ST10348011
"Had SS Kevin cycle power, oven now warming.","Oven screen reads ""release touch screen to begin calibration"" and it does not let us by pass it then a warning sign comes up but nothing happens when we touch the screen. We tried to turn oven off and back on and the same thing happens.",Constant Key Press,ST10348015
"Called spoke with manager Chris, had him to check air filter for bends, air filter bent, had Chris bend airfilter straight. This fixed the issue.

Closed with FCC at 1220PST",Oven does not turn on or start to heat up before the air filter removed sign displays,Air Filter Error,ST10348016
"Had store unplug the oven, wait 30 sec and plug it back it. now working",Oven wont start to heat up and touch screen does not respond,Overheating,ST10348017
"power cycle, oven warming","Oven doesn't let us click on it and there is a message that says, ""constant key press detected. Call service support"" tried turning it on and off, but it is still giving the same message on the screen.",Constant Key Press,ST10348018
"Left Oven
Cook Count: 144045
Faults: None 
Voltage: 208(211)
Amps: Right: 8.3
             Left: 8.5
Heater Amps: 10.3

Issue: Oven in use upon arrival. Unable to verify complaint.

Resolution: Unable to verify complaint. 

Tested bacon bites we in 35⁰ cold and came out 182⁰ hot.

Closed with FCC at 1445PST",Right oven Oven temperature is inconsistent and is not warming sandwich to temperature.,Food Not Cooking Properly,ST10348022
"Called and spoke with Elizabeth, the oven is reading constant key press detected. Had her power cycle the oven. This fixed the issue. 

Closed with FCC at 1318PST","It reads ""Warning constant key press detected call service request",Constant Key Press,ST10348030
"Error message on oven will not cook ""says constant key press detected


Advice store to trouble shoot, oven is now working","Error message on oven will not cook ""says constant key press detected Advice store to trouble shoot, oven is now working",Constant Key Press,ST10348033
nan,"The ""door is open"" sign is showing on the oven even though the door is closed Door keeps saying ""door open"" and also has a burnin smell that won't go away",Close Door Error,ST10348037
"Removed 
Left NGOD29185
Install 
Left 2007213090178
Lt mag 8.
Rt mag 8 
Loaded menu, date
Module sn 0008902010

Removed 
Right ngo29176
Install 
Right 2007213090183
Lt mag 8.5
Rt mag 8.5
Loaded menu, date
Module sn 0008222010","***DUAL MERRYCHEF Oven Replacement*** $516 for install, $100 for disposal, $616 total PO Please schedule w/ store before tech arrival to complete install Job: remove then dispose offsite old oven Install two new MERRYCHEF ovens Report back all serial numbers removed and serial numbers installed PHOTO OF OVEN PLACEMENT NOW REQUIRED! Completion Comments New Oven 1 Serial Number: Guardian Serial: Tested: GOOD New Oven 2 Serial Number: Guardian Serial: Tested: GOOD Old oven serial #s: PO #811019",101 Magnetron Failure,ST24503015
