Service Incident Summary,Keywords for n=1,Keywords for n=2,Keywords for n=3,Part Number,Part Description,Service Line Type
"[MICHAEL B. 10/19/2023]
Tech arrived on site to find merrychef oven giving e105 ... tech found the f5 and f6 25 amp fuses both blown... tech also found a issue with the front door switches... unit will need new fuses and switches to repair unit... call on hold for parts



[MICHAEL B. 10/24/2023]
Tech returned to install new door switches and fuses... tech tested unit and both 25 amp fusea blew immediately... tech noticed he worked the switch backwards... call on hold for parts 

[NESTOR L. 12/05/2023]
   Arrive at Quick Check Headquarters to work on the Oven From Fords, NJ. Replace QTY.4 = 25A Fuses. Rewired the Door Switch. Secondary/Interlock Switches. Waited for Machine to Heat. Tested Several times. Working.","25, 25a, amp, arrive, backwards, blow, door, e105, fuse, fusea, hold, immediately, install, issue, merrychef, need, new, notice, oven, repair, return, rewire, site, switch, tech, test, time, unit, wait, work, worked","25 amp, 25a fuse, amp fuse, amp fusea, arrive site, backwards hold, blow immediately, blow tech, door switch, e105 tech, fuse blow, fuse rewire, fuse switch, fuse tech, fusea blow, hold return, hold work, immediately tech, install new, issue door, merrychef oven, need new, new door, new fuse, notice worked, oven e105, repair unit, return install, rewire wait, site merrychef, switch backwards, switch fuse, switch repair, switch unit, tech 25, tech issue, tech notice, tech test, test time, test unit, time work, unit 25, unit hold, unit need, wait test, work 25a, worked switch","25 amp fuse, 25 amp fusea, 25a fuse rewire, amp fuse blow, amp fusea blow, arrive site merrychef, backwards hold work, blow immediately tech, blow tech issue, door switch fuse, door switch unit, e105 tech 25, fuse blow tech, fuse rewire wait, fuse switch repair, fuse tech test, fusea blow immediately, hold return install, hold work 25a, immediately tech notice, install new door, issue door switch, merrychef oven e105, need new fuse, new door switch, new fuse switch, notice worked switch, oven e105 tech, repair unit hold, return install new, rewire wait test, site merrychef oven, switch backwards hold, switch fuse tech, switch repair unit, switch unit need, tech 25 amp, tech issue door, tech notice worked, tech test unit, test time work, test unit 25, unit 25 amp, unit hold return, unit need new, wait test time, work 25a fuse, worked switch backwards",PSR155,DOOR INTERLOCK ASSY KIT,Parts
"Replace gear motor. Cover opened: broken motor replaced, new one fitted, cover closed again, function checked, OK","break, check, closed, cover, fit, function, gear, motor, new, ok, open, replace","break motor, check ok, closed function, cover closed, fit cover, function check, gear motor, motor open, motor replace, new fit, open break, replace gear, replace new","break motor replace, closed function check, cover closed function, fit cover closed, function check ok, gear motor open, motor open break, motor replace new, new fit cover, open break motor, replace gear motor, replace new fit",PSR240,E2S STIRRER MOTOR ASSY,Parts
"E111, thermocouple broken","break, thermocouple",thermocouple break,,DR0243,THERMOCOUPLE K-700,Parts
"Follow-up order to call 235664
-1x P30Z5048- PCB ordered, LT: 14.07.23 must be replaced
Merrychef conneX 12
Serial number: 2205213090507
Replace PCB Uni SRB board, functional test OK.","12, 2205213090507, board, followup, functional, number, order, replace, serial, test","12 serial, 2205213090507 board, board functional, followup order, functional test, number 2205213090507, order order, order replace, replace 12, serial number","12 serial number, 2205213090507 board functional, board functional test, followup order order, number 2205213090507 board, order order replace, order replace 12, replace 12 serial, serial number 2205213090507",P30Z5048,CONTROL IO ASSY,Parts
"CONTROL PCB UNI SRB fails. It is replaced and now the oven works fine.
It was necessary to update the software to the latest version,","fail, fine, late, necessary, oven, replace, software, update, version, work","fail replace, fine necessary, late version, necessary update, oven work, replace oven, software late, update software, work fine","fail replace oven, fine necessary update, necessary update software, oven work fine, replace oven work, software late version, update software late, work fine necessary",P30Z5048,CONTROL IO ASSY,Parts
"Detached facade default - Part Replaced, test ok,","default, detach, facade, ok, test","default test, detach facade, facade default, test ok","default test ok, detach facade default, facade default test",PDY0079,X12 GLASS OVERLAY,Parts
"E111 DEFAULT - DEFECTIVE THERMOCOUPLE - PART REPLACED, TEST, OK,",,,,DR0243,THERMOCOUPLE K-700,Parts
"Detached facade default - Part Replaced, test ok,","default, detach, facade, ok, test","default test, detach facade, facade default, test ok","default test ok, detach facade default, facade default test",PDY0079,X12 GLASS OVERLAY,Parts
"Cover including display falls out.
Display glued in with special adhesive Function test OK.","adhesive, cover, display, fall, glue, include, ok, special, test","adhesive test, cover include, display fall, fall glue, glue special, include display, special adhesive, test ok","adhesive test ok, cover include display, display fall glue, fall glue special, glue special adhesive, include display fall, special adhesive test",31Z0186,RTV SEALANT- SILASTIC BLACK,Parts
"Day 1: Based on the service call, our technicians checked the unit and found that the unit showing error E105. On the detailed checking, the technician observed the parts IO board, 25 Amps Fuse -2 no's, and Air filter micro switch damaged. Need to replace the faulty parts with new ones.
Day 2: Replaced faulty parts with new warranty parts and observed the working of the unit; the unit is working well.","25, base, board, check, damage, day, detailed, e105, error, faulty, filter, micro, need, new, observe, observed, replace, service, switch, technician, unit, warranty, work","25 filter, base service, board 25, check technician, check unit, damage need, day base, detailed check, e105 detailed, error e105, faulty new, filter micro, micro switch, need replace, new replace, new warranty, observe work, observed board, replace faulty, service technician, switch damage, technician check, technician observed, unit error, unit unit, unit work, warranty observe, work unit","25 filter micro, base service technician, board 25 filter, check technician observed, check unit unit, damage need replace, day base service, detailed check technician, e105 detailed check, error e105 detailed, faulty new replace, faulty new warranty, filter micro switch, micro switch damage, need replace faulty, new replace faulty, new warranty observe, observe work unit, observed board 25, replace faulty new, service technician check, switch damage need, technician check unit, technician observed board, unit error e105, unit unit error, unit unit work, warranty observe work, work unit unit",30Z1535,25 AMP LITTLEFUSE FLM025 250V UL AND CSA,Parts
"Day 1: Based on the service call, our technicians checked the unit and found that the unit showing error E105. On the detailed checking, the technician observed the parts IO board, 25 Amps Fuse -2 no's, and Air filter micro switch damaged. Need to replace the faulty parts with new ones.
Day 2: Replaced faulty parts with new warranty parts and observed the working of the unit; the unit is working well.","25, base, board, check, damage, day, detailed, e105, error, faulty, filter, micro, need, new, observe, observed, replace, service, switch, technician, unit, warranty, work","25 filter, base service, board 25, check technician, check unit, damage need, day base, detailed check, e105 detailed, error e105, faulty new, filter micro, micro switch, need replace, new replace, new warranty, observe work, observed board, replace faulty, service technician, switch damage, technician check, technician observed, unit error, unit unit, unit work, warranty observe, work unit","25 filter micro, base service technician, board 25 filter, check technician observed, check unit unit, damage need replace, day base service, detailed check technician, e105 detailed check, error e105 detailed, faulty new replace, faulty new warranty, filter micro switch, micro switch damage, need replace faulty, new replace faulty, new warranty observe, observe work unit, observed board 25, replace faulty new, service technician check, switch damage need, technician check unit, technician observed board, unit error e105, unit unit error, unit unit work, warranty observe work, work unit unit",30Z1562,AIR FILTER MICROSWITCH E2S,Parts
"Day 1: Based on the service call, our technicians checked the unit and found that the unit showing error E105. On the detailed checking, the technician observed the parts IO board, 25 Amps Fuse -2 no's, and Air filter micro switch damaged. Need to replace the faulty parts with new ones.
Day 2: Replaced faulty parts with new warranty parts and observed the working of the unit; the unit is working well.","25, base, board, check, damage, day, detailed, e105, error, faulty, filter, micro, need, new, observe, observed, replace, service, switch, technician, unit, warranty, work","25 filter, base service, board 25, check technician, check unit, damage need, day base, detailed check, e105 detailed, error e105, faulty new, filter micro, micro switch, need replace, new replace, new warranty, observe work, observed board, replace faulty, service technician, switch damage, technician check, technician observed, unit error, unit unit, unit work, warranty observe, work unit","25 filter micro, base service technician, board 25 filter, check technician observed, check unit unit, damage need replace, day base service, detailed check technician, e105 detailed check, error e105 detailed, faulty new replace, faulty new warranty, filter micro switch, micro switch damage, need replace faulty, new replace faulty, new warranty observe, observe work unit, observed board 25, replace faulty new, service technician check, switch damage need, technician check unit, technician observed board, unit error e105, unit unit error, unit unit work, warranty observe work, work unit unit",P30Z5048,CONTROL IO ASSY,Parts
"E111 DEFAULT - DEFECTIVE THERMOCOUPLE - PART REPLACED, TEST, OK,",,,,DR0243,THERMOCOUPLE K-700,Parts
"Error/Warning displayed  - Oven not working - Motor Speed Controller Failed (402s & eikon fault description ovens) - Part Replaced, test, ok.","402s, description, display, eikon, fail, fault, ok, oven, replace, test, work","402s eikon, description oven, display work, eikon fault, fail 402s, fault description, oven replace, replace test, test ok, work fail","402s eikon fault, description oven replace, display work fail, eikon fault description, fail 402s eikon, fault description oven, oven replace test, replace test ok, work fail 402s",P30Z5048,CONTROL IO ASSY,Parts
