Index,Original Category,keywords,Description,Assigned Category
43,Other,"[('55', 1), ('66', 1), ('finished', 1), ('heating', 1), ('said', 1), ('sh', 1), ('5am', 0), ('9pm', 0), ('constant', 0), ('detected', 0), ('key', 0), ('press', 0), ('service', 0), ('support', 0), ('warning', 0)]","When it was finished heating up it said ""WARNING CONSTANT KEY PRESS DETECTED CALL SERVICE SUPPORT"" X: 55 Y: 66 sh 5am-9pm",Constant Key Press
45,Other,"[('saying', 2), ('constant', 1), ('detected', 1), ('error', 1), ('key', 1), ('press', 1), ('release', 1), ('screen', 1), ('service', 1), ('support', 1), ('touch', 1), ('warning', 1), ('display', 0)]","Display saying ""warning constant key press detected call service support"" and an error saying release touch screen",Constant Key Press
48,Other,"[('oven', 2), ('ovens', 2), ('2006213090071', 1), ('actually', 1), ('black', 1), ('called', 1), ('gives', 1), ('installed', 1), ('maintenance', 1), ('message', 1), ('morning', 1), ('new', 1), ('newer', 1), ('night', 1), ('note', 1), ('overheating', 1), ('overheats', 1), ('pm', 1), ('said', 1), ('says', 1), ('start', 1), ('sticky', 1), ('turned', 1), ('30', 0), ('available', 0), ('chico', 0), ('code', 0), ('e104', 0), ('eicon', 0), ('error', 0), ('hours', 0), ('serial', 0), ('shift', 0), ('store', 0), ('trbl', 0), ('won', 0)]","Chico Shift called because they had two new ovens installed last night. This morning there was a sticky note on one that said this oven overheats, call in for maintenance. When the oven is turned on it gives a message that says its overheating and it won't actually start. Error Code E104 These Are the newer black EICON ovens No Trbl Available Serial #2006213090071 Store Hours 5 am- 7:30 pm",116 Heater OFF on Request
49,Other,"[('1456', 1), ('430', 1), ('730pm', 1), ('called', 1), ('code', 1), ('cook', 1), ('cooking', 1), ('count', 1), ('cycles', 1), ('does', 1), ('error', 1), ('failed', 1), ('heater', 1), ('installed', 1), ('just', 1), ('log', 1), ('middle', 1), ('new', 1), ('oven', 1), ('says', 1), ('turning', 1), ('week', 1), ('2006213090071', 0), ('asset', 0), ('e2s', 0), ('gianna', 0), ('keeps', 0), ('merrychef', 0), ('ovens', 0), ('sh', 0), ('sn', 0), ('ss', 0)]","Gianna, SS, called in because new oven says heater failed. Keeps turning off in the middle of cooking cycles. Was just installed last week. Can not get cook count or error code log. SH: 430 am to 730pm SN:2006213090071 Asset: does not have MerryChef E2S Ovens - 1456",Power Supply
52,Other,"[('detected', 1), ('key', 1), ('press', 1), ('constant', 0)]",Constant key press detected,Constant Key Press
53,Other,"[('cooking', 1), ('food', 1), ('oven', 1), ('way', 1), ('left', 0)]",Left oven is not cooking the food all the way,Food Not Cooking Properly
64,Other,"[('cook', 1), ('correctly', 1), ('food', 1), ('items', 1), ('wont', 1)]",It wont cook food items correctly,Air Filter Error
65,Other,"[('cooking', 2), ('completing', 1), ('cycle', 1), ('items', 1), ('seconds', 1), ('oven', 0)]",Oven not completing cooking cycle. Only cooking items for a few seconds,101 Magnetron Failure
81,Other,"[('damaged', 1), ('handle', 0)]",Handle damaged,Broken Door Handle
82,Other,"[('constant', 1), ('detected', 1), ('key', 1), ('press', 1), ('service', 1), ('support', 1), ('warning', 0)]",Warning constant key press detected call service support,Constant Key Press
83,Other,"[('tray', 3), ('burned', 1), ('damaged', 1), ('inside', 1), ('melted', 1), ('needed', 1), ('oven', 1), ('plastic', 1), ('replacement', 1), ('scraping', 1), ('tried', 1), ('unusable', 1), ('partners', 0)]",Plastic was burned on the oven tray which damaged the tray and is now unusable. A replacement tray for the inside is needed. Partners tried scraping melted plastic off.,Tray/Peg Issue
93,Other,"[('allowing', 1), ('calling', 1), ('multiple', 1), ('reach', 1), ('store', 1), ('times', 1), ('tried', 1), ('unsuccessful', 1), ('use', 1), ('12am', 0), ('sh430am', 0)]",*tried calling store multiple times however its unsuccessful to reach them. Not allowing us to use it sh430am-12am,Loose Door Handle
98,Other,"[('cook', 1), ('pesto', 1), ('turkey', 1)]",Can not cook turkey pesto,102 Heater On Without Request
120,Other,"[('cooking', 1), ('oven', 1), ('powering', 1), ('shooting', 1), ('states', 1), ('trouble', 1), ('11p', 0), ('1456', 0), ('20062130090129', 0), ('30', 0), ('e2s', 0), ('issue', 0), ('merrychef', 0), ('ovens', 0), ('qr', 0), ('sarah', 0), ('sh', 0), ('shift', 0)]",Sarah-shift- states that oven is cooking and then powering off/ No trouble shooting for this issue/ Merrychef E2S Ovens - 1456/ QR# 20062130090129/ SH: 4:30-11p,116 Heater OFF on Request
122,Other,"[('1456', 1), ('called', 1), ('code', 1), ('error', 1), ('issues', 1), ('oven', 1), ('overheating', 1), ('11pm', 0), ('430am', 0), ('e2s', 0), ('gives', 0), ('mariah', 0), ('merrychef', 0), ('ovens', 0), ('sh', 0), ('shift', 0)]","Mariah, SHIFT called about issues with the Merrychef oven. Gives an error code about overheating. SH- 430am-11pm Merrychef E2S Ovens - 1456",Loose Door Handle
138,Other,"[('come', 1), ('got', 1), ('heating', 1), ('new', 1), ('pegs', 1), ('plates', 1), ('replace', 1), ('said', 1), ('level', 0), ('tech', 0), ('unit', 0)]","Unit Not Level, Tech said he would come back and replace the pegs for us when we got new heating plates.",Convection
153,Other,"[('working', 2), ('glitching', 1), ('screen', 1), ('troubleshoot', 1), ('did', 0)]",Did troubleshoot still not working screen is glitching and not working,Constant Key Press
154,Other,"[('code', 1), ('displaying', 1), ('error', 1), ('power', 1), ('warning', 1), ('1030pm', 0), ('oven', 0), ('sh430am', 0)]",Oven displaying warning error code. Will not power up. sh430am-1030pm,Constant Key Press
155,Other,"[('1456', 1), ('access', 1), ('cord', 1), ('left', 1), ('oven', 1), ('partner', 1), ('power', 1), ('reading', 1), ('reported', 1), ('11pm', 0), ('2006213090138', 0), ('30am', 0), ('7290303926', 0), ('asset', 0), ('chef', 0), ('constant', 0), ('detected', 0), ('e2s', 0), ('error', 0), ('hours', 0), ('key', 0), ('merry', 0), ('merrychef', 0), ('ovens', 0), ('press', 0), ('serial', 0), ('shift', 0), ('store', 0), ('zoe', 0)]",Zoe Shift reported the left Merry Chef oven is reading Constant Key Press Detected Error. The partner can't access the power cord. Serial-2006213090138 Asset-7290303926 Store Hours- 4:30AM-11PM Merrychef E2S Ovens - 1456,116 Heater OFF on Request
158,Other,"[('closed', 1), ('door', 1), ('open', 1), ('registering', 0)]",Registering that door is open even when closed.,Close Door Error
159,Other,"[('comes', 1), ('consistently', 1), ('odd', 1), ('odor', 1), ('oven', 1), ('smoke', 0)]",Smoke consistently comes out the side of oven. Very odd odor.,Smoking
173,Other,"[('constant', 1), ('detected', 1), ('key', 1), ('press', 1), ('working', 1)]",*constant key press detected Not working,Constant Key Press
174,Other,"[('screen', 1), ('service', 1), ('support', 1), ('working', 1), ('touch', 0)]",Touch screen not working **call service support**,Constant Key Press
176,Other,"[('oven', 1), ('peel', 1), ('started', 1)]",The top of the oven has started to peel off.,103 Ambient Overtemp
180,Other,"[('clean', 1), ('continues', 1), ('filter', 1), ('giving', 1), ('message', 1), ('problem', 1), ('removed', 1), ('keeps', 0), ('tried', 0)]",Keeps giving a filter removed message. Tried to clean it out but problem continues,Air Filter Error
184,Other,"[('error', 1), ('frozen', 1), ('message', 1), ('screen', 0)]",Screen is frozen on error message,102 Heater On Without Request
212,Other,"[('button', 1), ('calibration', 1), ('constant', 1), ('detected', 1), ('key', 1), ('lpading', 1), ('non', 1), ('press', 1), ('push', 1), ('responsive', 1), ('said', 1), ('says', 1), ('screen', 1), ('service', 1), ('support', 1), ('touch', 1), ('turn', 1), ('went', 1), ('white', 1), ('oven', 0)]",Oven screen says constant key press detected call service support. Then said lpading touch calibration and went white. Screen is non responsive and will not turn off with push of the button,Constant Key Press
213,Other,"[('detected', 1), ('key', 1), ('press', 1), ('constant', 0)]",Constant key press detected,Constant Key Press
217,Other,"[('screen', 1), ('working', 1), ('touch', 0)]",Touch screen not working at all,Constant Key Press
245,Other,"[('constant', 1), ('detected', 1), ('key', 1), ('press', 1), ('service', 1), ('support', 1), ('warning', 1), ('says', 0)]",Says warning constant key press detected. Call service support,Constant Key Press
246,Other,"[('constant', 1), ('detected', 1), ('key', 1), ('machine', 1), ('press', 1), ('respond', 1), ('wont', 1)]",*constant key press detected I machine wont respond,Constant Key Press
247,Other,"[('detected', 1), ('key', 1), ('press', 1), ('service', 1), ('support', 1), ('constant', 0)]",Constant key press detected call service support,Constant Key Press
248,Other,"[('needs', 1), ('replacement', 1), ('tray', 1), ('oven', 0), ('right', 0)]",Right Oven tray needs replacement,Cavity
290,Other,"[('guide', 3), ('asked', 1), ('correctly', 1), ('determine', 1), ('easy', 1), ('follow', 1), ('guardian', 1), ('isn', 1), ('module', 1), ('partners', 1), ('send', 1), ('shooting', 1), ('stores', 1), ('trouble', 1), ('troubleshooting', 1), ('ultimately', 1), ('working', 1)]",“Follow troubleshooting guide to determine why the guardian module isn’t working correctly. This will ultimately be the trouble shooting guide they send to the stores. We are being asked to see if this guide will be easy to follow for their partners.”,No Power
291,Other,"[('screen', 3), ('happens', 2), ('touch', 2), ('begin', 1), ('calibration', 1), ('comes', 1), ('does', 1), ('let', 1), ('oven', 1), ('pass', 1), ('reads', 1), ('release', 1), ('sign', 1), ('thing', 1), ('tried', 1), ('turn', 1), ('warning', 1)]","Oven screen reads ""release touch screen to begin calibration"" and it does not let us by pass it then a warning sign comes up but nothing happens when we touch the screen. We tried to turn oven off and back on and the same thing happens.",Constant Key Press
293,Other,"[('does', 1), ('heat', 1), ('respond', 1), ('screen', 1), ('start', 1), ('touch', 1), ('wont', 1), ('oven', 0)]",Oven wont start to heat up and touch screen does not respond,103 Ambient Overtemp
294,Other,"[('message', 2), ('click', 1), ('constant', 1), ('detected', 1), ('giving', 1), ('key', 1), ('let', 1), ('press', 1), ('says', 1), ('screen', 1), ('service', 1), ('support', 1), ('tried', 1), ('turning', 1), ('doesn', 0), ('oven', 0)]","Oven doesn't let us click on it and there is a message that says, ""constant key press detected. Call service support"" tried turning it on and off, but it is still giving the same message on the screen.",Constant Key Press
320,Other,"[('serial', 3), ('install', 2), ('numbers', 2), ('oven', 2), ('100', 1), ('516', 1), ('616', 1), ('811019', 1), ('arrival', 1), ('complete', 1), ('disposal', 1), ('dispose', 1), ('installed', 1), ('new', 1), ('offsite', 1), ('old', 1), ('ovens', 1), ('remove', 1), ('removed', 1), ('schedule', 1), ('store', 1), ('tech', 1), ('total', 1), ('comments', 0), ('completion', 0), ('dual', 0), ('good', 0), ('guardian', 0), ('job', 0), ('merrychef', 0), ('number', 0), ('photo', 0), ('placement', 0), ('po', 0), ('replacement', 0), ('report', 0), ('required', 0), ('tested', 0)]","***DUAL MERRYCHEF Oven Replacement*** $516 for install, $100 for disposal, $616 total PO Please schedule w/ store before tech arrival to complete install Job: remove then dispose offsite old oven Install two new MERRYCHEF ovens Report back all serial numbers removed and serial numbers installed PHOTO OF OVEN PLACEMENT NOW REQUIRED! Completion Comments New Oven 1 Serial Number: Guardian Serial: Tested: GOOD New Oven 2 Serial Number: Guardian Serial: Tested: GOOD Old oven serial #s: PO #811019",116 Heater OFF on Request
321,Other,"[('required', 3), ('included', 2), ('parts', 2), ('attached', 1), ('cable', 1), ('cables', 1), ('completion', 1), ('data', 1), ('date', 1), ('enclosed', 1), ('information', 1), ('instruction', 1), ('kit', 1), ('label', 1), ('need', 1), ('office', 1), ('package', 1), ('printed', 1), ('procedures', 1), ('return', 1), ('returned', 1), ('sheet', 1), ('shipped', 1), ('swap', 1), ('tags', 1), ('ties', 1), ('09', 0), ('21', 0), ('addison', 0), ('firmware', 0), ('instructions', 0), ('kccm', 0), ('market', 0), ('module', 0), ('replacement', 0), ('srb', 0), ('technicians', 0), ('turbo', 0), ('update', 0), ('usb', 0)]","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
349,Other,"[('required', 3), ('included', 2), ('parts', 2), ('attached', 1), ('cable', 1), ('cables', 1), ('completion', 1), ('data', 1), ('date', 1), ('information', 1), ('instruction', 1), ('kit', 1), ('label', 1), ('need', 1), ('office', 1), ('package', 1), ('printed', 1), ('procedures', 1), ('return', 1), ('returned', 1), ('sheet', 1), ('shipped', 1), ('swap', 1), ('tags', 1), ('ties', 1), ('09', 0), ('21', 0), ('addison', 0), ('firmware', 0), ('instructions', 0), ('kccm', 0), ('market', 0), ('module', 0), ('replacement', 0), ('srb', 0), ('technicians', 0), ('turbo', 0), ('update', 0), ('usb', 0)]","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label",Menu Issue
402,Other,"[('constant', 1), ('detected', 1), ('key', 1), ('press', 1), ('says', 1), ('service', 1), ('support', 1), ('oven', 0)]","Oven says ""constant key press detected call service support",Constant Key Press
405,Other,"[('door', 2), ('oven', 2), ('appear', 1), ('closed', 1), ('displays', 1), ('error', 1), ('intermittent', 1), ('issue', 1), ('open', 1), ('starting', 1), ('left', 0)]","Left side oven displays ""oven door open"" error even though the door is closed. It is an intermittent issue and is starting to appear more often.",Power Supply
409,Other,"[('door', 2), ('jolted', 2), ('display', 1), ('easily', 1), ('fine', 1), ('inside', 1), ('sensitive', 1), ('slams', 1), ('works', 1), ('oven', 0)]","Oven works fine, but the display jolted inside. Oven door seems to be more sensitive than the other door in that it slams easily which is why it may have jolted around.",tool
411,Other,"[('respond', 1), ('screen', 1), ('slow', 1), ('touch', 1), ('oven', 0)]",Oven touch screen slow to respond,Constant Key Press
419,Other,"[('got', 1), ('handle', 1), ('inside', 1), ('like', 1), ('unscrewed', 1)]",It seems like handle got unscrewed somehow from the inside.,Broken Door Handle
420,Other,"[('9513717275', 1), ('answer', 0), ('calling', 0), ('constant', 0), ('error', 0), ('key', 0), ('press', 0), ('store', 0), ('treid', 0), ('unolug', 0)]",CONSTANT KEY PRESS ERROR TREID CALLING STORE TO HAVE THEM UNOLUG NO ANSWER 9513717275,Constant Key Press
423,Other,"[('asap', 1), ('believe', 1), ('fixed', 1), ('missing', 1), ('needs', 1), ('screw', 1)]",I believe its missing a screw needs to be fixed asap,Cavity
453,Other,"[('constant', 1), ('detected', 1), ('key', 1), ('message', 1), ('press', 1), ('service', 1), ('support', 1), ('warning', 1)]","""warning constant key press detected - call service support"" message",Constant Key Press
455,Other,"[('constant', 1), ('detected', 1), ('key', 1), ('press', 1), ('reads', 1), ('service', 1), ('support', 1), ('warning', 1), ('display', 0)]",Display reads: warning constant key press detected & call service support,Constant Key Press
468,Other,"[('requested', 1), ('screen', 1), ('service', 1), ('working', 1), ('display', 0)]",Display not working screen requested service,Constant Key Press
492,Other,"[('partner', 1), ('electrocuted', 0)]",Electrocuted partner,Loose Door Handle
498,Other,"[('burning', 1), ('casing', 1), ('fan', 1), ('intake', 1), ('oven', 1), ('partners', 1), ('damaged', 0), ('left', 0)]",Damaged casing and intake fan. It is burning partners. Left oven.,Upper Impinger Plate
505,Other,"[('burned', 1), ('completely', 1), ('damaged', 1), ('didnt', 1), ('door', 1), ('edge', 1), ('leg', 1), ('little', 1), ('look', 1), ('opened', 1), ('oven', 1), ('papers', 1), ('pretty', 1), ('tray', 1), ('warming', 1)]",One of the warming papers completely burned. I didnt see a fire when i opened the oven door. The edge of the tray and little leg look pretty damaged.,Tray/Peg Issue
525,Other,"[('install', 2), ('numbers', 2), ('serial', 2), ('700', 1), ('90', 1), ('arrival', 1), ('blower', 1), ('complete', 1), ('date', 1), ('disposal', 1), ('dispose', 1), ('installed', 1), ('loaned', 1), ('new', 1), ('offsite', 1), ('old', 1), ('oven', 1), ('ovens', 1), ('remove', 1), ('removed', 1), ('schedule', 1), ('store', 1), ('tech', 1), ('00', 0), ('10', 0), ('790', 0), ('comments', 0), ('completion', 0), ('dual', 0), ('good', 0), ('guardian', 0), ('job', 0), ('merrychef', 0), ('ngod13790', 0), ('numb', 0), ('number', 0), ('photo', 0), ('placement', 0), ('po', 0), ('replacement', 0), ('report', 0), ('required', 0), ('sn', 0), ('tested', 0), ('total', 0)]","***DUAL MERRYCHEF Oven Replacement*** Arrival date 3/10 $700 for install, $90 for disposal Total PO 790.00 Remove loaned bottom blower on SN: NGOD13790  Please schedule w/ store before tech arrival to complete install Job: remove then dispose offsite old oven Install two new MERRYCHEF ovens Report back all serial numbers removed and serial numbers installed PHOTO OF OVEN PLACEMENT NOW REQUIRED! Completion Comments New Oven 1 Serial Number: Guardian Serial: Tested: GOOD New Oven 2 Serial Numb",116 Heater OFF on Request
539,Other,"[('26059485', 1), ('billing', 1), ('welbilt', 0)]",Welbilt billing 26059485,Overheating
543,Other,"[('26513989', 1), ('billing', 1), ('welbilt', 0)]",Welbilt billing 26513989,Overheating
569,Other,"[('constant', 1), ('detected', 1), ('key', 1), ('press', 1), ('service', 1), ('support', 1), ('warning', 0)]",Warning....constant key press detected. Call service support,Constant Key Press
574,Other,"[('constant', 1), ('detected', 1), ('error', 1), ('key', 1), ('message', 1), ('photo', 1), ('press', 1)]",*constant key press detected See error message photo below.,Constant Key Press
575,Other,"[('oven', 3), ('says', 2), ('10', 1), ('10374', 1), ('accessible', 1), ('ago', 1), ('believes', 1), ('called', 1), ('caught', 1), ('compartment', 1), ('days', 1), ('dept', 1), ('extinguisher', 1), ('food', 1), ('goes', 1), ('hours', 1), ('partner', 1), ('partners', 1), ('pm', 1), ('right', 1), ('safety', 1), ('shift', 1), ('shooting', 1), ('trbl', 1), ('turned', 1), ('use', 1), ('kastor', 0), ('store', 0)]","Store# 10374, Kastor, shift, in a fire in the right oven, had to use the fire extinguisher. The partner says the fire was behind the compartment where food goes not accessible. The partners have turned the oven off for safety. Fire dept. was not called. Partner says she believes this oven caught on fire a few days ago as well. No trbl shooting. Store hours: 5 am - 10 pm.",Loose Door Handle
578,Other,"[('error', 4), ('reset', 3), ('appeared', 2), ('oven', 2), ('1456', 1), ('came', 1), ('constant', 1), ('giving', 1), ('hard', 1), ('key', 1), ('press', 1), ('soft', 1), ('10pm', 0), ('5am', 0), ('alex', 0), ('e2s', 0), ('kba', 0), ('merrychef', 0), ('ovens', 0), ('sh', 0), ('shift', 0), ('tried', 0)]","Alex SHIFT, Merrychef oven is giving a constant key press error Tried a soft reset, error still appeared Tried a hard reset and the error still appeared KBA: Merrychef E2S Ovens - 1456 SH: 5AM - 10PM Tried to reset the oven but the error came back",Constant Key Press
593,Other,"[('appears', 1), ('door', 1), ('melting', 1), ('oven', 1), ('coating', 0)]",Coating on oven door appears to be melting,Convection
600,Other,"[('constant', 0), ('detected', 0), ('key', 0), ('press', 0), ('service', 0), ('support', 0)]",CONSTANT KEY PRESS DETECTED CALL SERVICE SUPPORT,Constant Key Press
601,Other,"[('message', 2), ('5am', 1), ('9932', 1), ('constant', 1), ('detected', 1), ('key', 1), ('press', 1), ('saying', 1), ('showing', 1), ('shows', 1), ('tried', 1), ('turn', 1), ('10', 0), ('30pm', 0), ('hours', 0), ('langrehr', 0), ('oven', 0), ('shelby', 0), ('shift', 0), ('store', 0), ('ve', 0)]","Store 9932 Shift: Shelby Langrehr Hours: 5am - 10:30pm Oven is showing a message saying ""constant key press detected"" we've tried to turn it on and off but it still shows the message.",Constant Key Press
605,Other,"[('food', 2), ('5a', 1), ('9932', 1), ('customers', 1), ('heating', 1), ('https', 1), ('inconsistent', 1), ('ovens', 1), ('properly', 1), ('said', 1), ('time', 1), ('warm', 1), ('warming', 1), ('05', 0), ('08', 0), ('09', 0), ('10', 0), ('12', 0), ('2019', 0), ('2022', 0), ('202205100419', 0), ('2bk7lcy', 0), ('2fx202h21hwalevoqkpuskxvi9awywwf47kw2s', 0), ('30p', 0), ('3d', 0), ('4868', 0), ('4b7be9822dda', 0), ('7531b4cf', 0), ('88aa', 0), ('blob', 0), ('core', 0), ('d257', 0), ('hours', 0), ('jpeg', 0), ('langrehr', 0), ('net', 0), ('s00332safocwpr', 0), ('se', 0), ('shelby', 0), ('shift', 0), ('sig', 0), ('sp', 0), ('spr', 0), ('sr', 0), ('st', 0), ('store', 0), ('stores', 0), ('sv', 0), ('wasn', 0), ('windows', 0)]",Store #: 9932 Shift: Shelby Langrehr Hours: 5a - 10:30p Both the ovens have an inconsistent heating time. The food is not properly warming up and customers have said their food wasn't warm enough. https://s00332safocwpr.blob.core.windows.net/stores/9932/9932-202205100419-7531B4CF-D257-4868-88AA-4B7BE9822DDA.jpeg?sv=2019-12-12&sr=b&st=2022-05-09&se=2022-08-08&spr=https&sp=r&sig=%2FX202H21hwaleVoQkpusKxvI9AwYwwF47KW2S%2BK7LcY%3D,Loose Door Handle
