Service Incident Summary,Keywords for n=1,Keywords for n=2,Keywords for n=3
"PO# 4503327079 INV# 2100785572
Door switch
I completed the start-up earlier today and found the top door switch is in a â€œclosedâ€ condition regardless of the position of the
door.
Called OEM and confirmed that it was present with these issues at the startup
Arrived on site. Met with Quan.
Pulled old door switch and replaced with new.
Tested and unit is up and operational","['2100785572, 4503327079, arrive, complete, condition, confirm, door, early, issue, new, old, operational, po, position, present, pull, regardless, replace, site, startup, switch, test, today, unit, œclosedâ']","['2100785572 switch, 4503327079 2100785572, arrive site, complete startup, condition regardless, confirm present, door confirm, door switch, early today, issue startup, new test, old door, po 4503327079, position door, present issue, pull old, regardless position, replace new, site pull, startup arrive, startup early, switch complete, switch replace, switch œclosedâ, test unit, today door, unit operational, œclosedâ condition']","['2100785572 switch complete, 4503327079 2100785572 switch, arrive site pull, complete startup early, condition regardless position, confirm present issue, door confirm present, door switch replace, door switch œclosedâ, early today door, issue startup arrive, new test unit, old door switch, po 4503327079 2100785572, position door confirm, present issue startup, pull old door, regardless position door, replace new test, site pull old, startup arrive site, startup early today, switch complete startup, switch replace new, switch œclosedâ condition, test unit operational, today door switch, œclosedâ condition regardless']"
"PO# 4503327079 INV# 2100785572
Door switch
I completed the start-up earlier today and found the top door switch is in a â€œclosedâ€ condition regardless of the position of the
door.
Called OEM and confirmed that it was present with these issues at the startup
Arrived on site. Met with Quan.
Pulled old door switch and replaced with new.
Tested and unit is up and operational","['2100785572, 4503327079, arrive, complete, condition, confirm, door, early, issue, new, old, operational, po, position, present, pull, regardless, replace, site, startup, switch, test, today, unit, œclosedâ']","['2100785572 switch, 4503327079 2100785572, arrive site, complete startup, condition regardless, confirm present, door confirm, door switch, early today, issue startup, new test, old door, po 4503327079, position door, present issue, pull old, regardless position, replace new, site pull, startup arrive, startup early, switch complete, switch replace, switch œclosedâ, test unit, today door, unit operational, œclosedâ condition']","['2100785572 switch complete, 4503327079 2100785572 switch, arrive site pull, complete startup early, condition regardless position, confirm present issue, door confirm present, door switch replace, door switch œclosedâ, early today door, issue startup arrive, new test unit, old door switch, po 4503327079 2100785572, position door confirm, present issue startup, pull old door, regardless position door, replace new test, site pull old, startup arrive site, startup early today, switch complete startup, switch replace new, switch œclosedâ condition, test unit operational, today door switch, œclosedâ condition regardless']"
"10 5 23 JEH1 SCH
CHECKED GRILL FOR TRIPPING BREAKER. FOUND SHORTED LEFT PLATEN. ORDER NEW.

10 13 23 JEH1 
REPLACED PLATEN. CHECKED OVERALL OPERATION AND OPERATING PROPERLY AT THIS TIME.","['10, 13, 23, check, operating, operation, overall, shorted']","['10 13, 10 23, 13 23, 23 check, 23 shorted, check overall, operation operating, overall operation, shorted 10']","['10 13 23, 10 23 shorted, 13 23 check, 23 check overall, 23 shorted 10, check overall operation, overall operation operating, shorted 10 13']"
"10 5 23 JEH1 SCH
CHECKED GRILL FOR TRIPPING BREAKER. FOUND SHORTED LEFT PLATEN. ORDER NEW.

10 13 23 JEH1 
REPLACED PLATEN. CHECKED OVERALL OPERATION AND OPERATING PROPERLY AT THIS TIME.","['10, 13, 23, check, operating, operation, overall, shorted']","['10 13, 10 23, 13 23, 23 check, 23 shorted, check overall, operation operating, overall operation, shorted 10']","['10 13 23, 10 23 shorted, 13 23 check, 23 check overall, 23 shorted 10, check overall operation, overall operation operating, shorted 10 13']"
"10 5 23 JEH1 SCH
CHECKED GRILL FOR TRIPPING BREAKER. FOUND SHORTED LEFT PLATEN. ORDER NEW.

10 13 23 JEH1 
REPLACED PLATEN. CHECKED OVERALL OPERATION AND OPERATING PROPERLY AT THIS TIME.","['10, 13, 23, check, operating, operation, overall, shorted']","['10 13, 10 23, 13 23, 23 check, 23 shorted, check overall, operation operating, overall operation, shorted 10']","['10 13 23, 10 23 shorted, 13 23 check, 23 check overall, 23 shorted 10, check overall operation, overall operation operating, shorted 10 13']"
"10 5 23 JEH1 SCH
CHECKED GRILL FOR TRIPPING BREAKER. FOUND SHORTED LEFT PLATEN. ORDER NEW.

10 13 23 JEH1 
REPLACED PLATEN. CHECKED OVERALL OPERATION AND OPERATING PROPERLY AT THIS TIME.","['10, 13, 23, check, operating, operation, overall, shorted']","['10 13, 10 23, 13 23, 23 check, 23 shorted, check overall, operation operating, overall operation, shorted 10']","['10 13 23, 10 23 shorted, 13 23 check, 23 check overall, 23 shorted 10, check overall operation, overall operation operating, shorted 10 13']"
"10 5 23 JEH1 SCH
CHECKED GRILL FOR TRIPPING BREAKER. FOUND SHORTED LEFT PLATEN. ORDER NEW.

10 13 23 JEH1 
REPLACED PLATEN. CHECKED OVERALL OPERATION AND OPERATING PROPERLY AT THIS TIME.","['10, 13, 23, check, operating, operation, overall, shorted']","['10 13, 10 23, 13 23, 23 check, 23 shorted, check overall, operation operating, overall operation, shorted 10']","['10 13 23, 10 23 shorted, 13 23 check, 23 check overall, 23 shorted 10, check overall operation, overall operation operating, shorted 10 13']"
"10 5 23 JEH1 SCH
CHECKED GRILL FOR TRIPPING BREAKER. FOUND SHORTED LEFT PLATEN. ORDER NEW.

10 13 23 JEH1 
REPLACED PLATEN. CHECKED OVERALL OPERATION AND OPERATING PROPERLY AT THIS TIME.","['10, 13, 23, check, operating, operation, overall, shorted']","['10 13, 10 23, 13 23, 23 check, 23 shorted, check overall, operation operating, overall operation, shorted 10']","['10 13 23, 10 23 shorted, 13 23 check, 23 check overall, 23 shorted 10, check overall operation, overall operation operating, shorted 10 13']"
"Oven, Combi C4eT 20.20 GS right unit s/n:WS721104165. 4/5 found the the door was way out of square. It is out of square front to back, and side to side.  Need a second person to help get the door back sitting correctly. Called Convotherm and talked with Don in tech support. He is authorizing a second person to make the adjustments due to the weight and size of the door. We will schedule this with start ups. 1/30 We made adjustments to the door.  It still not lined up as it should at is should. Talked with Scottie at Convotherm. He sent a pdf on the door adjustments which we had followed before it was sent. We also found the bottom hinge bent. We are going to order hinges. 11/8 Checked in and out with Michael and Sean. Right Convotherm. Customer states door sags on left side and door pops open during service. Door is visually lower a half of an inch on left side. Top and bottom hinges are maxed out on adjustment. We inspected dimensions of cavity of oven opening. Oven is shifted. Oven cavity opening is not square. From corner to corner of cavity oven are different measurements. 164 inches on one side and 163.5 inches on other side. Pictures were taken. We called Welbilt and spoke with Scottie. Welbilt will not cover oven under warranty. Convotherm is requesting completed start up form from Advanced. Oven has been diagnosed customer to contact the dealer. If customer or dealer has any issues, call Advanced Parts work is complete on our end.","['118, 130, 1635, 164, 2020, 45, adjustment, authorize, bent, cavity, check, complete, contact, corner, correctly, cover, customer, dealer, diagnose, different, dimension, door, end, follow, form, gs, half, help, hinge, inch, inspect, issue, leave, line, low, make, maxed, measurement, need, open, order, oven, pdf, person, pop, request, right, sag, schedule, second, send, service, shift, sit, size, snws721104165, speak, square, start, state, support, talk, tech, unit, visually, warranty, way, weight, work']","['118 check, 130 make, 1635 inch, 164 inch, 2020 gs, 45 door, adjustment door, adjustment follow, adjustment inspect, adjustment weight, authorize second, bent order, cavity open, cavity oven, check state, complete end, complete start, contact dealer, corner cavity, corner corner, correctly talk, cover oven, customer contact, customer dealer, dealer customer, dealer issue, diagnose customer, different measurement, dimension cavity, door adjustment, door line, door pop, door sag, door schedule, door sit, door way, follow send, form diagnose, gs right, half inch, help door, hinge 118, hinge bent, hinge maxed, inch 1635, inch leave, inch speak, inspect dimension, issue work, leave door, leave hinge, line send, low half, make adjustment, maxed adjustment, measurement 164, need second, open service, open shift, open square, order hinge, oven different, oven open, oven warranty, pdf door, person help, person make, pop open, request complete, right unit, sag leave, schedule start, second person, send hinge, send pdf, service visually, shift cavity, sit correctly, size door, snws721104165 45, speak cover, square corner, square need, square square, start 130, start form, state door, support authorize, talk tech, tech support, unit snws721104165, visually low, warranty request, way square, weight size, work complete']","['118 check state, 130 make adjustment, 1635 inch speak, 164 inch 1635, 2020 gs right, 45 door way, adjustment door line, adjustment follow send, adjustment inspect dimension, adjustment weight size, authorize second person, bent order hinge, cavity open square, cavity oven different, cavity oven open, check state door, complete start form, contact dealer customer, corner cavity oven, corner corner cavity, correctly talk tech, cover oven warranty, customer contact dealer, customer dealer issue, dealer customer dealer, dealer issue work, diagnose customer contact, different measurement 164, dimension cavity oven, door adjustment follow, door line send, door pop open, door sag leave, door schedule start, door sit correctly, door way square, follow send hinge, form diagnose customer, gs right unit, half inch leave, help door sit, hinge 118 check, hinge bent order, hinge maxed adjustment, inch 1635 inch, inch leave hinge, inch speak cover, inspect dimension cavity, issue work complete, leave door pop, leave hinge maxed, line send pdf, low half inch, make adjustment door, make adjustment weight, maxed adjustment inspect, measurement 164 inch, need second person, open service visually, open shift cavity, open square corner, order hinge 118, oven different measurement, oven open shift, oven warranty request, pdf door adjustment, person help door, person make adjustment, pop open service, request complete start, right unit snws721104165, sag leave door, schedule start 130, second person help, second person make, send hinge bent, send pdf door, service visually low, shift cavity open, sit correctly talk, size door schedule, snws721104165 45 door, speak cover oven, square corner corner, square need second, square square need, start 130 make, start form diagnose, state door sag, support authorize second, talk tech support, tech support authorize, unit snws721104165 45, visually low half, warranty request complete, way square square, weight size door, work complete end']"
"Oven, Combi C4eT 20.20 GS right unit s/n:WS721104165. 4/5 found the the door was way out of square. It is out of square front to back, and side to side.  Need a second person to help get the door back sitting correctly. Called Convotherm and talked with Don in tech support. He is authorizing a second person to make the adjustments due to the weight and size of the door. We will schedule this with start ups. 1/30 We made adjustments to the door.  It still not lined up as it should at is should. Talked with Scottie at Convotherm. He sent a pdf on the door adjustments which we had followed before it was sent. We also found the bottom hinge bent. We are going to order hinges. 11/8 Checked in and out with Michael and Sean. Right Convotherm. Customer states door sags on left side and door pops open during service. Door is visually lower a half of an inch on left side. Top and bottom hinges are maxed out on adjustment. We inspected dimensions of cavity of oven opening. Oven is shifted. Oven cavity opening is not square. From corner to corner of cavity oven are different measurements. 164 inches on one side and 163.5 inches on other side. Pictures were taken. We called Welbilt and spoke with Scottie. Welbilt will not cover oven under warranty. Convotherm is requesting completed start up form from Advanced. Oven has been diagnosed customer to contact the dealer. If customer or dealer has any issues, call Advanced Parts work is complete on our end.","['118, 130, 1635, 164, 2020, 45, adjustment, authorize, bent, cavity, check, complete, contact, corner, correctly, cover, customer, dealer, diagnose, different, dimension, door, end, follow, form, gs, half, help, hinge, inch, inspect, issue, leave, line, low, make, maxed, measurement, need, open, order, oven, pdf, person, pop, request, right, sag, schedule, second, send, service, shift, sit, size, snws721104165, speak, square, start, state, support, talk, tech, unit, visually, warranty, way, weight, work']","['118 check, 130 make, 1635 inch, 164 inch, 2020 gs, 45 door, adjustment door, adjustment follow, adjustment inspect, adjustment weight, authorize second, bent order, cavity open, cavity oven, check state, complete end, complete start, contact dealer, corner cavity, corner corner, correctly talk, cover oven, customer contact, customer dealer, dealer customer, dealer issue, diagnose customer, different measurement, dimension cavity, door adjustment, door line, door pop, door sag, door schedule, door sit, door way, follow send, form diagnose, gs right, half inch, help door, hinge 118, hinge bent, hinge maxed, inch 1635, inch leave, inch speak, inspect dimension, issue work, leave door, leave hinge, line send, low half, make adjustment, maxed adjustment, measurement 164, need second, open service, open shift, open square, order hinge, oven different, oven open, oven warranty, pdf door, person help, person make, pop open, request complete, right unit, sag leave, schedule start, second person, send hinge, send pdf, service visually, shift cavity, sit correctly, size door, snws721104165 45, speak cover, square corner, square need, square square, start 130, start form, state door, support authorize, talk tech, tech support, unit snws721104165, visually low, warranty request, way square, weight size, work complete']","['118 check state, 130 make adjustment, 1635 inch speak, 164 inch 1635, 2020 gs right, 45 door way, adjustment door line, adjustment follow send, adjustment inspect dimension, adjustment weight size, authorize second person, bent order hinge, cavity open square, cavity oven different, cavity oven open, check state door, complete start form, contact dealer customer, corner cavity oven, corner corner cavity, correctly talk tech, cover oven warranty, customer contact dealer, customer dealer issue, dealer customer dealer, dealer issue work, diagnose customer contact, different measurement 164, dimension cavity oven, door adjustment follow, door line send, door pop open, door sag leave, door schedule start, door sit correctly, door way square, follow send hinge, form diagnose customer, gs right unit, half inch leave, help door sit, hinge 118 check, hinge bent order, hinge maxed adjustment, inch 1635 inch, inch leave hinge, inch speak cover, inspect dimension cavity, issue work complete, leave door pop, leave hinge maxed, line send pdf, low half inch, make adjustment door, make adjustment weight, maxed adjustment inspect, measurement 164 inch, need second person, open service visually, open shift cavity, open square corner, order hinge 118, oven different measurement, oven open shift, oven warranty request, pdf door adjustment, person help door, person make adjustment, pop open service, request complete start, right unit snws721104165, sag leave door, schedule start 130, second person help, second person make, send hinge bent, send pdf door, service visually low, shift cavity open, sit correctly talk, size door schedule, snws721104165 45 door, speak cover oven, square corner corner, square need second, square square need, start 130 make, start form diagnose, state door sag, support authorize second, talk tech support, tech support authorize, unit snws721104165 45, visually low half, warranty request complete, way square square, weight size door, work complete end']"
"Oven, Combi C4eT 20.20 GS right unit s/n:WS721104165. 4/5 found the the door was way out of square. It is out of square front to back, and side to side.  Need a second person to help get the door back sitting correctly. Called Convotherm and talked with Don in tech support. He is authorizing a second person to make the adjustments due to the weight and size of the door. We will schedule this with start ups. 1/30 We made adjustments to the door.  It still not lined up as it should at is should. Talked with Scottie at Convotherm. He sent a pdf on the door adjustments which we had followed before it was sent. We also found the bottom hinge bent. We are going to order hinges. 11/8 Checked in and out with Michael and Sean. Right Convotherm. Customer states door sags on left side and door pops open during service. Door is visually lower a half of an inch on left side. Top and bottom hinges are maxed out on adjustment. We inspected dimensions of cavity of oven opening. Oven is shifted. Oven cavity opening is not square. From corner to corner of cavity oven are different measurements. 164 inches on one side and 163.5 inches on other side. Pictures were taken. We called Welbilt and spoke with Scottie. Welbilt will not cover oven under warranty. Convotherm is requesting completed start up form from Advanced. Oven has been diagnosed customer to contact the dealer. If customer or dealer has any issues, call Advanced Parts work is complete on our end.","['118, 130, 1635, 164, 2020, 45, adjustment, authorize, bent, cavity, check, complete, contact, corner, correctly, cover, customer, dealer, diagnose, different, dimension, door, end, follow, form, gs, half, help, hinge, inch, inspect, issue, leave, line, low, make, maxed, measurement, need, open, order, oven, pdf, person, pop, request, right, sag, schedule, second, send, service, shift, sit, size, snws721104165, speak, square, start, state, support, talk, tech, unit, visually, warranty, way, weight, work']","['118 check, 130 make, 1635 inch, 164 inch, 2020 gs, 45 door, adjustment door, adjustment follow, adjustment inspect, adjustment weight, authorize second, bent order, cavity open, cavity oven, check state, complete end, complete start, contact dealer, corner cavity, corner corner, correctly talk, cover oven, customer contact, customer dealer, dealer customer, dealer issue, diagnose customer, different measurement, dimension cavity, door adjustment, door line, door pop, door sag, door schedule, door sit, door way, follow send, form diagnose, gs right, half inch, help door, hinge 118, hinge bent, hinge maxed, inch 1635, inch leave, inch speak, inspect dimension, issue work, leave door, leave hinge, line send, low half, make adjustment, maxed adjustment, measurement 164, need second, open service, open shift, open square, order hinge, oven different, oven open, oven warranty, pdf door, person help, person make, pop open, request complete, right unit, sag leave, schedule start, second person, send hinge, send pdf, service visually, shift cavity, sit correctly, size door, snws721104165 45, speak cover, square corner, square need, square square, start 130, start form, state door, support authorize, talk tech, tech support, unit snws721104165, visually low, warranty request, way square, weight size, work complete']","['118 check state, 130 make adjustment, 1635 inch speak, 164 inch 1635, 2020 gs right, 45 door way, adjustment door line, adjustment follow send, adjustment inspect dimension, adjustment weight size, authorize second person, bent order hinge, cavity open square, cavity oven different, cavity oven open, check state door, complete start form, contact dealer customer, corner cavity oven, corner corner cavity, correctly talk tech, cover oven warranty, customer contact dealer, customer dealer issue, dealer customer dealer, dealer issue work, diagnose customer contact, different measurement 164, dimension cavity oven, door adjustment follow, door line send, door pop open, door sag leave, door schedule start, door sit correctly, door way square, follow send hinge, form diagnose customer, gs right unit, half inch leave, help door sit, hinge 118 check, hinge bent order, hinge maxed adjustment, inch 1635 inch, inch leave hinge, inch speak cover, inspect dimension cavity, issue work complete, leave door pop, leave hinge maxed, line send pdf, low half inch, make adjustment door, make adjustment weight, maxed adjustment inspect, measurement 164 inch, need second person, open service visually, open shift cavity, open square corner, order hinge 118, oven different measurement, oven open shift, oven warranty request, pdf door adjustment, person help door, person make adjustment, pop open service, request complete start, right unit snws721104165, sag leave door, schedule start 130, second person help, second person make, send hinge bent, send pdf door, service visually low, shift cavity open, sit correctly talk, size door schedule, snws721104165 45 door, speak cover oven, square corner corner, square need second, square square need, start 130 make, start form diagnose, state door sag, support authorize second, talk tech support, tech support authorize, unit snws721104165 45, visually low half, warranty request complete, way square square, weight size door, work complete end']"
"Oven, Combi C4eT 20.20 GS right unit s/n:WS721104165. 4/5 found the the door was way out of square. It is out of square front to back, and side to side.  Need a second person to help get the door back sitting correctly. Called Convotherm and talked with Don in tech support. He is authorizing a second person to make the adjustments due to the weight and size of the door. We will schedule this with start ups. 1/30 We made adjustments to the door.  It still not lined up as it should at is should. Talked with Scottie at Convotherm. He sent a pdf on the door adjustments which we had followed before it was sent. We also found the bottom hinge bent. We are going to order hinges. 11/8 Checked in and out with Michael and Sean. Right Convotherm. Customer states door sags on left side and door pops open during service. Door is visually lower a half of an inch on left side. Top and bottom hinges are maxed out on adjustment. We inspected dimensions of cavity of oven opening. Oven is shifted. Oven cavity opening is not square. From corner to corner of cavity oven are different measurements. 164 inches on one side and 163.5 inches on other side. Pictures were taken. We called Welbilt and spoke with Scottie. Welbilt will not cover oven under warranty. Convotherm is requesting completed start up form from Advanced. Oven has been diagnosed customer to contact the dealer. If customer or dealer has any issues, call Advanced Parts work is complete on our end.","['118, 130, 1635, 164, 2020, 45, adjustment, authorize, bent, cavity, check, complete, contact, corner, correctly, cover, customer, dealer, diagnose, different, dimension, door, end, follow, form, gs, half, help, hinge, inch, inspect, issue, leave, line, low, make, maxed, measurement, need, open, order, oven, pdf, person, pop, request, right, sag, schedule, second, send, service, shift, sit, size, snws721104165, speak, square, start, state, support, talk, tech, unit, visually, warranty, way, weight, work']","['118 check, 130 make, 1635 inch, 164 inch, 2020 gs, 45 door, adjustment door, adjustment follow, adjustment inspect, adjustment weight, authorize second, bent order, cavity open, cavity oven, check state, complete end, complete start, contact dealer, corner cavity, corner corner, correctly talk, cover oven, customer contact, customer dealer, dealer customer, dealer issue, diagnose customer, different measurement, dimension cavity, door adjustment, door line, door pop, door sag, door schedule, door sit, door way, follow send, form diagnose, gs right, half inch, help door, hinge 118, hinge bent, hinge maxed, inch 1635, inch leave, inch speak, inspect dimension, issue work, leave door, leave hinge, line send, low half, make adjustment, maxed adjustment, measurement 164, need second, open service, open shift, open square, order hinge, oven different, oven open, oven warranty, pdf door, person help, person make, pop open, request complete, right unit, sag leave, schedule start, second person, send hinge, send pdf, service visually, shift cavity, sit correctly, size door, snws721104165 45, speak cover, square corner, square need, square square, start 130, start form, state door, support authorize, talk tech, tech support, unit snws721104165, visually low, warranty request, way square, weight size, work complete']","['118 check state, 130 make adjustment, 1635 inch speak, 164 inch 1635, 2020 gs right, 45 door way, adjustment door line, adjustment follow send, adjustment inspect dimension, adjustment weight size, authorize second person, bent order hinge, cavity open square, cavity oven different, cavity oven open, check state door, complete start form, contact dealer customer, corner cavity oven, corner corner cavity, correctly talk tech, cover oven warranty, customer contact dealer, customer dealer issue, dealer customer dealer, dealer issue work, diagnose customer contact, different measurement 164, dimension cavity oven, door adjustment follow, door line send, door pop open, door sag leave, door schedule start, door sit correctly, door way square, follow send hinge, form diagnose customer, gs right unit, half inch leave, help door sit, hinge 118 check, hinge bent order, hinge maxed adjustment, inch 1635 inch, inch leave hinge, inch speak cover, inspect dimension cavity, issue work complete, leave door pop, leave hinge maxed, line send pdf, low half inch, make adjustment door, make adjustment weight, maxed adjustment inspect, measurement 164 inch, need second person, open service visually, open shift cavity, open square corner, order hinge 118, oven different measurement, oven open shift, oven warranty request, pdf door adjustment, person help door, person make adjustment, pop open service, request complete start, right unit snws721104165, sag leave door, schedule start 130, second person help, second person make, send hinge bent, send pdf door, service visually low, shift cavity open, sit correctly talk, size door schedule, snws721104165 45 door, speak cover oven, square corner corner, square need second, square square need, start 130 make, start form diagnose, state door sag, support authorize second, talk tech support, tech support authorize, unit snws721104165 45, visually low half, warranty request complete, way square square, weight size door, work complete end']"
"Oven, Combi C4eT 20.20 GS right unit s/n:WS721104165. 4/5 found the the door was way out of square. It is out of square front to back, and side to side.  Need a second person to help get the door back sitting correctly. Called Convotherm and talked with Don in tech support. He is authorizing a second person to make the adjustments due to the weight and size of the door. We will schedule this with start ups. 1/30 We made adjustments to the door.  It still not lined up as it should at is should. Talked with Scottie at Convotherm. He sent a pdf on the door adjustments which we had followed before it was sent. We also found the bottom hinge bent. We are going to order hinges. 11/8 Checked in and out with Michael and Sean. Right Convotherm. Customer states door sags on left side and door pops open during service. Door is visually lower a half of an inch on left side. Top and bottom hinges are maxed out on adjustment. We inspected dimensions of cavity of oven opening. Oven is shifted. Oven cavity opening is not square. From corner to corner of cavity oven are different measurements. 164 inches on one side and 163.5 inches on other side. Pictures were taken. We called Welbilt and spoke with Scottie. Welbilt will not cover oven under warranty. Convotherm is requesting completed start up form from Advanced. Oven has been diagnosed customer to contact the dealer. If customer or dealer has any issues, call Advanced Parts work is complete on our end.","['118, 130, 1635, 164, 2020, 45, adjustment, authorize, bent, cavity, check, complete, contact, corner, correctly, cover, customer, dealer, diagnose, different, dimension, door, end, follow, form, gs, half, help, hinge, inch, inspect, issue, leave, line, low, make, maxed, measurement, need, open, order, oven, pdf, person, pop, request, right, sag, schedule, second, send, service, shift, sit, size, snws721104165, speak, square, start, state, support, talk, tech, unit, visually, warranty, way, weight, work']","['118 check, 130 make, 1635 inch, 164 inch, 2020 gs, 45 door, adjustment door, adjustment follow, adjustment inspect, adjustment weight, authorize second, bent order, cavity open, cavity oven, check state, complete end, complete start, contact dealer, corner cavity, corner corner, correctly talk, cover oven, customer contact, customer dealer, dealer customer, dealer issue, diagnose customer, different measurement, dimension cavity, door adjustment, door line, door pop, door sag, door schedule, door sit, door way, follow send, form diagnose, gs right, half inch, help door, hinge 118, hinge bent, hinge maxed, inch 1635, inch leave, inch speak, inspect dimension, issue work, leave door, leave hinge, line send, low half, make adjustment, maxed adjustment, measurement 164, need second, open service, open shift, open square, order hinge, oven different, oven open, oven warranty, pdf door, person help, person make, pop open, request complete, right unit, sag leave, schedule start, second person, send hinge, send pdf, service visually, shift cavity, sit correctly, size door, snws721104165 45, speak cover, square corner, square need, square square, start 130, start form, state door, support authorize, talk tech, tech support, unit snws721104165, visually low, warranty request, way square, weight size, work complete']","['118 check state, 130 make adjustment, 1635 inch speak, 164 inch 1635, 2020 gs right, 45 door way, adjustment door line, adjustment follow send, adjustment inspect dimension, adjustment weight size, authorize second person, bent order hinge, cavity open square, cavity oven different, cavity oven open, check state door, complete start form, contact dealer customer, corner cavity oven, corner corner cavity, correctly talk tech, cover oven warranty, customer contact dealer, customer dealer issue, dealer customer dealer, dealer issue work, diagnose customer contact, different measurement 164, dimension cavity oven, door adjustment follow, door line send, door pop open, door sag leave, door schedule start, door sit correctly, door way square, follow send hinge, form diagnose customer, gs right unit, half inch leave, help door sit, hinge 118 check, hinge bent order, hinge maxed adjustment, inch 1635 inch, inch leave hinge, inch speak cover, inspect dimension cavity, issue work complete, leave door pop, leave hinge maxed, line send pdf, low half inch, make adjustment door, make adjustment weight, maxed adjustment inspect, measurement 164 inch, need second person, open service visually, open shift cavity, open square corner, order hinge 118, oven different measurement, oven open shift, oven warranty request, pdf door adjustment, person help door, person make adjustment, pop open service, request complete start, right unit snws721104165, sag leave door, schedule start 130, second person help, second person make, send hinge bent, send pdf door, service visually low, shift cavity open, sit correctly talk, size door schedule, snws721104165 45 door, speak cover oven, square corner corner, square need second, square square need, start 130 make, start form diagnose, state door sag, support authorize second, talk tech support, tech support authorize, unit snws721104165 45, visually low half, warranty request complete, way square square, weight size door, work complete end']"
"Oven, Combi C4eT 20.20 GS right unit s/n:WS721104165. 4/5 found the the door was way out of square. It is out of square front to back, and side to side.  Need a second person to help get the door back sitting correctly. Called Convotherm and talked with Don in tech support. He is authorizing a second person to make the adjustments due to the weight and size of the door. We will schedule this with start ups. 1/30 We made adjustments to the door.  It still not lined up as it should at is should. Talked with Scottie at Convotherm. He sent a pdf on the door adjustments which we had followed before it was sent. We also found the bottom hinge bent. We are going to order hinges. 11/8 Checked in and out with Michael and Sean. Right Convotherm. Customer states door sags on left side and door pops open during service. Door is visually lower a half of an inch on left side. Top and bottom hinges are maxed out on adjustment. We inspected dimensions of cavity of oven opening. Oven is shifted. Oven cavity opening is not square. From corner to corner of cavity oven are different measurements. 164 inches on one side and 163.5 inches on other side. Pictures were taken. We called Welbilt and spoke with Scottie. Welbilt will not cover oven under warranty. Convotherm is requesting completed start up form from Advanced. Oven has been diagnosed customer to contact the dealer. If customer or dealer has any issues, call Advanced Parts work is complete on our end.","['118, 130, 1635, 164, 2020, 45, adjustment, authorize, bent, cavity, check, complete, contact, corner, correctly, cover, customer, dealer, diagnose, different, dimension, door, end, follow, form, gs, half, help, hinge, inch, inspect, issue, leave, line, low, make, maxed, measurement, need, open, order, oven, pdf, person, pop, request, right, sag, schedule, second, send, service, shift, sit, size, snws721104165, speak, square, start, state, support, talk, tech, unit, visually, warranty, way, weight, work']","['118 check, 130 make, 1635 inch, 164 inch, 2020 gs, 45 door, adjustment door, adjustment follow, adjustment inspect, adjustment weight, authorize second, bent order, cavity open, cavity oven, check state, complete end, complete start, contact dealer, corner cavity, corner corner, correctly talk, cover oven, customer contact, customer dealer, dealer customer, dealer issue, diagnose customer, different measurement, dimension cavity, door adjustment, door line, door pop, door sag, door schedule, door sit, door way, follow send, form diagnose, gs right, half inch, help door, hinge 118, hinge bent, hinge maxed, inch 1635, inch leave, inch speak, inspect dimension, issue work, leave door, leave hinge, line send, low half, make adjustment, maxed adjustment, measurement 164, need second, open service, open shift, open square, order hinge, oven different, oven open, oven warranty, pdf door, person help, person make, pop open, request complete, right unit, sag leave, schedule start, second person, send hinge, send pdf, service visually, shift cavity, sit correctly, size door, snws721104165 45, speak cover, square corner, square need, square square, start 130, start form, state door, support authorize, talk tech, tech support, unit snws721104165, visually low, warranty request, way square, weight size, work complete']","['118 check state, 130 make adjustment, 1635 inch speak, 164 inch 1635, 2020 gs right, 45 door way, adjustment door line, adjustment follow send, adjustment inspect dimension, adjustment weight size, authorize second person, bent order hinge, cavity open square, cavity oven different, cavity oven open, check state door, complete start form, contact dealer customer, corner cavity oven, corner corner cavity, correctly talk tech, cover oven warranty, customer contact dealer, customer dealer issue, dealer customer dealer, dealer issue work, diagnose customer contact, different measurement 164, dimension cavity oven, door adjustment follow, door line send, door pop open, door sag leave, door schedule start, door sit correctly, door way square, follow send hinge, form diagnose customer, gs right unit, half inch leave, help door sit, hinge 118 check, hinge bent order, hinge maxed adjustment, inch 1635 inch, inch leave hinge, inch speak cover, inspect dimension cavity, issue work complete, leave door pop, leave hinge maxed, line send pdf, low half inch, make adjustment door, make adjustment weight, maxed adjustment inspect, measurement 164 inch, need second person, open service visually, open shift cavity, open square corner, order hinge 118, oven different measurement, oven open shift, oven warranty request, pdf door adjustment, person help door, person make adjustment, pop open service, request complete start, right unit snws721104165, sag leave door, schedule start 130, second person help, second person make, send hinge bent, send pdf door, service visually low, shift cavity open, sit correctly talk, size door schedule, snws721104165 45 door, speak cover oven, square corner corner, square need second, square square need, start 130 make, start form diagnose, state door sag, support authorize second, talk tech support, tech support authorize, unit snws721104165 45, visually low half, warranty request complete, way square square, weight size door, work complete end']"
